address,count
"600 E. VALLEY PKWY., ESCONDIDO",9126
"380 N FAIRVIEW AVENUE, GOLETA",9071
16822 Kitzman,8890
"6005 LEWIS AVENUE, ATASCADERO, CA 93422",8887
"807 SOUTH IRWIN ST., HANFORD",8854
"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",8852
4514 1/2 Durant St,8816
ROUTE 34 LITTLE BUFFALO STATE PARK,8799
"7823 BLACKFOOT WAY, NORTH HIGHLANDS",8779
21441-W B STREET,8768
"Shiprock Electrical Substation, Waterflow, NM",8748
4743 MANNHEIM RD.,8714
390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],8704
"1155 REDWOOD AVE., EL CAJON",8687
837 5TH ST.,8682
"200 S. HATHAWAY ST., BANNING CA",8678
4266 40TH AVE NORTH,8656
"201 MISSISSIPPI ST., IITRI BUNKER",8643
500 SOUTH BROAD STREET-PARKING LOT (CHS),8606
Denton Airport South,8585
WASHINGTON & CAMBRIA STS. FREEMANSBURG,8584
"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",8550
"38-I, BROAD RUN HIGH SCHOOL, ASHBURN",8533
400 W RIVER ROAD,8527
RD. 29 1/2 NO. OF AVE 8 MADERA COUNTY,8503
"2200 N 1st Street, Bloomfield, NM",8487
6400 Bissonnet Street,8446
"2811 HOLLAND ST,CARLSBAD,NM",8422
750 DUNDEE ROAD,8413
7571 HWY. 5505,8403
"228 W. PALM AVE., BURBANK",8356
"Corner of Athol and Telescope, Trona",8322
"104-2 SANTA TERESA INTERNATIONAL BLVD,NM",8314
6024 HIGHWAY 200,8308
14620 Laguna Rd,8303
250 WM. HOWARD TAFT,8292
Gregg Co Airport near Longview,8272
"NIPOMO REGIONAL PARK, NIPOMO, CA.",8261
12532 1/2 Nuestra Drive,8214
"3648 N. LONG BEACH BLVD., LONG BEACH",8208
"50 NATOMA STREET, FOLSOM",8164
793 Rincon Ave.,8122
"468 MANZANITA AVE, CHICO",8081
CALHOUN BOWATERS NORTH(B-1) LAMOUNTVILLE,8050
1130 EASTWAY DRIVE,8022
SHERWOOD ISLAND STATE PARK,8006
"583 W. 10TH ST., PITTSBURG",7998
"14306 PARK AVE., VICTORVILLE, CA",7992
CHARLESTON BOWATERS SOUTH(B-2) WORTH ST.,7988
"651 Gibson Blvd., Harrisburg, PA 17104",7988
EAST END OF ASTER LANE,7939
867 E. LAUREL Dr,7939
"AUDUBON GOLF COURSE, 450 MAPLE ROAD",7929
14790 County Road 1145,7921
"3425 N FIRST ST, FRESNO",7919
"517 N SAINT ASAPH ST, ALEXANDRIA HEALTH",7918
"5555 OVERLAND AVE., SAN DIEGO",7910
"1210 N. 10TH ST.,JFK RECREATION CENTER",7876
"2625 Georgia Highway 212, Conyers, Georgia, 30094",7828
800 S San Marcial Street,7787
4100 Fairway Dr,7784
"1100 PASEO INTERNATIONAL, OTAY MESA, CA",7751
12552 Second St,7750
3790 S Houston St,7744
"NO CHEYENNE, BADGER PEAK, COLSTRIP",7702
HARRISON AVE,7693
"NO CHEYENNE, GARFIELD PEAK, COLSTRIP",7687
650 R E Thomason Loop,7682
"40733 CHAPEL WAY., FREMONT",7563
"LADUE: 73 Hunter Avenue, Ladue, MO 63105",7551
"TAKOMA SC.  7010 PINEY BRANCH RD. N.W., WASHINGTON, DC 20012",7526
"HILLCREST HIGH SCHOOL: 3319 N Grant, Springfield, MO 65803",7459
Hwy 134 & Spur 449,7453
"229 SERVICE RD., WATFORD CITY",7439
"707 E 119TH ST SOUTH,PECK COMMUNITY BLDG",7437
"LIBERTY: Highway & County Home Road, Liberty, 64068",7421
SE LAFAYETTE/5824 SE LAFAYETTE,7408
"22224 PLACERITA CANYON RD, SANTA CLARITA",7405
4522 Park Rd,7401
"20401 BEAR MTN BLVD, ARVIN, CA., 93203",7359
531A EAST FIRST STREET,7332
9472A Hwy 1484,7314
"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",7311
4503 Croix Pkwy,7309
Queens College   65-30 Kissena Blvd  Parking Lot#6,7298
THUNDER BASIN GRASSLAND SITE 35 MI N-NE GILLETTE WY,7297
1405 Sheldon Road,7274
"43301 DIVISION ST., LANCASTER, CA",7262
PIKE AVE AT RIVER ROAD,7249
"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",7218
1630 W. PAMPAS LANE,7213
7801 LAWNDALE,7189
5504 South Collins Street,7132
 Center St,7082
"NO CHEYENNE, MORNINGSTAR, COLSTRIP",7076
"WEST ALTON: General Electric Store, Highway 94, WestT Alton, MO 63386",7070
158B JACKSON ST,7035
3520 1/2 N. PEORIA,7034
"8315 HIGHWAY 8, KENMARE",7002
IS 52    681 KELLY ST,6964
"HEALTH DEPT., 1900 EAST 9TH ST.",6944
"TROOST: 724 Troost (Rear), Kansas City, MO 64106",6937
"King Farm, 160 Ralph King Path, Rockmart, Georgia, 30153",6933
9399 Lima St,6926
PENN STATE UNIVERSITY - ARBORETUM SITE,6916
1128 N.  27TH AVE-GREENWOOD STATION,6902
STATE HOSPITAL REAR 1600 HANOVER AVE,6897
CHILWICK & WASHINGTON STS,6896
824 Sayle Street,6882
MCCARRELL AND FAYETTE STS,6870
