observation_percent,count
100.0,7040184
96.0,82113
92.0,34513
88.0,16055
83.0,9654
79.0,6636
75.0,5584
58.0,5453
63.0,5442
67.0,5402
54.0,5336
71.0,5333
50.0,4764
46.0,4273
42.0,3905
38.0,3456
33.0,2689
29.0,1910
25.0,1312
4.0,1248
13.0,1000
17.0,990
21.0,989
8.0,864
