observation_percent,count
100.0,2208778
96.0,21080
92.0,8598
88.0,4129
83.0,2583
79.0,1725
75.0,1524
71.0,1451
67.0,1415
63.0,1364
58.0,1323
54.0,1292
50.0,1271
46.0,1157
42.0,987
38.0,859
33.0,688
29.0,514
4.0,402
25.0,343
21.0,278
8.0,277
13.0,247
17.0,245
