cbsa_name,count
"Clinton, IA",5737
"Shreveport-Bossier City, LA",5735
"Brownsville-Harlingen, TX",5728
"Klamath Falls, OR",5706
"Dodge City, KS",5686
"Jackson, MS",5665
"Laredo, TX",5659
"Truckee-Grass Valley, CA",5618
"Asheville, NC",5550
"Show Low, AZ",5475
"Brookings, SD",5473
"Fremont, OH",5453
"Lexington-Fayette, KY",5343
"Madera, CA",5234
"Visalia-Porterville, CA",5233
"La Grande, OR",5187
"McAllen-Edinburg-Mission, TX",5126
"Manchester-Nashua, NH",5118
"Eureka-Arcata-Fortuna, CA",5102
"Fort Collins, CO",5012
"Muscatine, IA",4900
"Ponce, PR",4843
"Ponca City, OK",4800
"Coffeyville, KS",4751
"Montgomery, AL",4689
"Redding, CA",4643
"Logan, UT-ID",4608
"Taos, NM",4537
"Greensboro-High Point, NC",4351
"Savannah, GA",4127
"Santa Fe, NM",4099
"Breckenridge, CO",4073
"Torrington, CT",3991
"Durham-Chapel Hill, NC",3981
"Augusta-Richmond County, GA-SC",3907
"Jackson, WY-ID",3842
"Bozeman, MT",3748
"Fayetteville, NC",3747
"Greeley, CO",3725
"Norwich-New London, CT",3576
"Casper, WY",3541
"Fort Smith, AR-OK",3455
"Wheeling, WV-OH",3421
"Pueblo, CO",3402
"Gainesville, FL",3392
"Silver City, NM",3388
"Crestview-Fort Walton Beach-Destin, FL",3383
"Tahlequah, OK",3373
"Ca?on City, CO",3372
"Madison, WI",3333
"Grants Pass, OR",3291
"Berlin, NH-VT",3247
"Malone, NY",3211
"Tiffin, OH",3205
"Chattanooga, TN-GA",3198
"Clarksville, TN-KY",3196
"Santa Cruz-Watsonville, CA",3156
"Albany-Schenectady-Troy, NY",3149
"Findlay, OH",3117
"Lima, OH",3032
"Cleveland, TN",3021
"Williston, ND",2974
"Fort Wayne, IN",2971
"Kingsport-Bristol-Bristol, TN-VA",2924
"Hermiston-Pendleton, OR",2912
"Austin-Round Rock, TX",2912
"Augusta-Waterville, ME",2893
"Flagstaff, AZ",2849
"Lewiston, ID-WA",2787
"Vallejo-Fairfield, CA",2763
"Worcester, MA-CT",2763
"Panama City, FL",2760
"Aberdeen, SD",2757
"Winchester, VA-WV",2701
"Bend-Redmond, OR",2687
"Corpus Christi, TX",2682
"Athens, TN",2626
"Hickory-Lenoir-Morganton, NC",2618
"Guayama, PR",2604
"Lexington, NE",2451
"Bowling Green, KY",2373
"Tallahassee, FL",2365
"Rutland, VT",2234
"Clearlake, CA",2232
"Prescott, AZ",2229
"Waterloo-Cedar Falls, IA",2133
"Pensacola-Ferry Pass-Brent, FL",2096
"South Bend-Mishawaka, IN-MI",2084
"Williamsport, PA",2036
"Billings, MT",2005
"Merced, CA",2000
"Lubbock, TX",1998
"Napa, CA",1974
"Marquette, MI",1943
"Syracuse, NY",1903
"Jackson, TN",1901
"Lewiston-Auburn, ME",1870
"Roanoke, VA",1849
"Red Bluff, CA",1847
"Olympia-Tumwater, WA",1844
"Gallup, NM",1832
"Jasper, IN",1820
"Columbus, GA-AL",1810
"Talladega-Sylacauga, AL",1794
"Weatherford, OK",1747
"Gadsden, AL",1745
"Jamestown-Dunkirk-Fredonia, NY",1693
"Rockland, ME",1693
"Marietta, OH",1690
"Rochester, NY",1688
"Peoria, IL",1682
"Mansfield, OH",1635
"Concord, NH",1588
"Gardnerville Ranchos, NV",1567
"Kingston, NY",1541
"Claremont-Lebanon, NH-VT",1491
"Eau Claire, WI",1483
"Hobbs, NM",1358
"Macon, GA",1296
"Utica-Rome, NY",1273
"Minot, ND",1272
"Wilmington, NC",1251
"Roswell, NM",1228
"Kapaa, HI",1220
"Decatur, IL",1220
"Rochester, MN",1218
"Trenton, NJ",1215
"Carbondale-Marion, IL",1195
"Vernal, UT",1195
"Bay City, MI",1182
"Midland, MI",1170
"Summerville, GA",1140
"Iowa City, IA",1138
"Edwards, CO",1132
"Jamestown, ND",1085
"Salisbury, MD-DE",1068
"Saginaw, MI",1067
"Charlottesville, VA",1064
"Atlantic City-Hammonton, NJ",1050
"Lincoln, NE",1037
"Goldsboro, NC",1021
"Jacksonville, NC",1020
"Crescent City, CA",1017
"Rocky Mount, NC",995
"Parkersburg-Vienna, WV",988
"Richmond-Berea, KY",981
"Bellingham, WA",979
"Monroe, MI",968
"Wenatchee, WA",961
"Flint, MI",956
"Auburn, IN",948
"Troy, AL",930
"Middlesborough, KY",924
"Great Falls, MT",902
"Safford, AZ",896
"Albany, GA",896
"Rome, GA",895
"Barre, VT",869
"London, KY",859
"Port St. Lucie, FL",855
"Brunswick, GA",853
"Marshall, TX",851
"Marion, NC",832
"Spartanburg, SC",823
"Amarillo, TX",814
"Somerset, KY",812
"Elizabethtown-Fort Knox, KY",794
"Gulfport-Biloxi-Pascagoula, MS",780
"Lynchburg, VA",778
"Grand Forks, ND-MN",773
"Dothan, AL",769
"Decatur, AL",763
"Fayetteville-Springdale-Rogers, AR-MO",754
"Keene, NH",741
"Bremerton-Silverdale, WA",735
"Longview, WA",734
"Binghamton, NY",714
"Roseburg, OR",714
"Elizabeth City, NC",712
"Athens, OH",712
"Kinston, NC",707
"St. George, UT",701
"Port Angeles, WA",676
"Montrose, CO",647
"Fort Payne, AL",643
"Port Clinton, OH",633
"Idaho Falls, ID",628
"Tuscaloosa, AL",628
"Battle Creek, MI",621
"Ellensburg, WA",617
"Carson City, NV",615
"Greenville, NC",607
"West Plains, MO",603
"Springfield, IL",599
"Fort Madison-Keokuk, IA-IL-MO",588
"Dunn, NC",583
"Green Bay, WI",578
"Champaign-Urbana, IL",578
"Quincy, IL-MO",564
"Morgantown, WV",556
"Twin Falls, ID",552
"Lake Charles, LA",546
"Harrisonburg, VA",544
"Alamogordo, NM",540
"Rockford, IL",527
"Dickinson, ND",519
"Hagerstown-Martinsburg, MD-WV",513
"Bennington, VT",513
"Mexico, MO",512
"Florence-Muscle Shoals, AL",506
"Anniston-Oxford-Jacksonville, AL",493
"Paris, TN",489
"Martinsville, VA",488
"Texarkana, TX-AR",479
"Kearney, NE",475
"Jonesboro, AR",475
"Laurel, MS",473
"Camden, AR",472
"Russellville, AR",471
"Hot Springs, AR",469
"Fernley, NV",462
"Charleston-Mattoon, IL",459
"Helena-West Helena, AR",459
"McAlester, OK",458
"Iron Mountain, MI-WI",458
"Cedar City, UT",457
"El Dorado, AR",456
"Alexandria, LA",455
"Vicksburg, MS",454
"Tupelo, MS",452
"Pine Bluff, AR",451
"Searcy, AR",448
"Clarksdale, MS",447
"Beckley, WV",444
"Burley, ID",441
"Lawton, OK",436
"Monroe, LA",436
"Cumberland, MD-WV",431
"Woodward, OK",425
"Alpena, MI",424
"Aberdeen, WA",411
"Scottsbluff, NE",405
"Willmar, MN",397
"Big Stone Gap, VA",392
"Greenville, MS",388
"Ardmore, OK",385
"Beaumont-Port Arthur, TX",383
"Scottsboro, AL",381
"Tyler, TX",378
"New Philadelphia-Dover, OH",369
"Killeen-Temple, TX",365
"Wichita Falls, TX",363
"Hannibal, MO",362
"Hastings, NE",360
"Glens Falls, NY",354
