local_site_name,count
Lone Pine Paiute-Shoshone Reservation,5155
Visalia-Church,5153
Tarrant Elementary School,5147
WEST CHANDLER,5132
Glendora,5109
Magna,5083
Hollister,5083
Baptist Childrens' Home,5066
Aspen - Library,5062
NORTH PHOENIX,5019
Lizard Tail,5014
ASPEN CENTRAL BANK,5010
MTSP,5009
Alsup Elementry School - Commerce City,5008
Tracy-Airport,5007
DEL NORTE HIGH SCHOOL,5000
Alabama Ave. Station,4997
Torres Martinez Administration Site,4961
"DAVENPORT, JEFFERSON SCH.",4958
El Rio-Rio Mesa School #2,4954
AIR LAB,4940
New Orleans / City Park,4931
Tillman,4921
DYSART,4918
Casa Blanca Air Monitoring Site,4884
Bishop Tribe EMO,4878
White Mountain Fort Apache Reservation,4847
WAUKESHA - CLEVELAND AVE,4844
YUMA SUPERSITE,4843
SOUTH SCOTTSDALE,4843
Murphy Ridge,4828
ANTELOPE COAL COMPANY SITE #6 COLLOCATED TSP SITE.,4821
CHARLESTON BAPTIST TEMPLE/SITE MOVED FROM OAQ AND FIRE STATION,4820
Mission,4816
HORICON WILDLIFE AREA,4813
Meadow and Bank Streets,4808
Buckskin Mine North Site & PRB-PM2.5 Network,4792
"Georgia Tech, Ford Environmental Science and Technology Bldg, roof",4773
SITE SBIII LOCATED 2 MILES NORTHWEST OF NAUGHTON POWER PLANT,4771
NCORE,4743
El Capitan,4741
STOCKER STADIUM,4721
Black Butte Mine I-80 Site,4701
Greenville ESC,4699
BUTTE,4694
Reno3,4693
Wyandotte Park,4692
Whiteriver - Fort Apache Reservation,4663
CLAIRTON  WEST OF USS CLAIRTON COKE WORKS (UPWIND),4650
Long Beach (North),4631
Shreveport / Airport,4629
Capitol,4625
OWENSBORO PRIMARY,4619
Nipomo Regional Park (NRP),4612
Socorro Hueco,4608
Cayce City Hall,4598
MESA,4589
BEULAH NORTH,4588
BURBANK - MAPLE ST,4584
RELOCATED AMAX EAGLE BUTTE MINE SITE - 2. 1.5 MI WEST OLD LOCATION.,4577
Los Flores Canyon #1,4547
NARM NA-8,4546
Portland - SE Lafayette,4543
Chalmette Vista,4536
LONGMONT - MUNICIPAL BLDG,4531
Honolulu-Aala St.,4512
Black Butte Upwind,4503
MIAMI GOLF COURSE,4501
DUNN CENTER,4464
PAYSON WELL SITE,4449
MT CRESTED BUTTE REALTY BLDG,4442
Union County #1 Jensen,4439
"Medford, Welch and Jackson.",4431
BULLHEAD CITY ADEQ,4428
Elko Grammar School No. 2,4423
A420170012LAT/LONG POINT IS OF SAMPLING INLET,4409
Niland-English Road,4406
