local_site_name,count
Boulder,11524
Camp Bullis,11470
6ZN Santa Teresa,11466
6ZM Desert View,11462
Tracy-Airport,11444
Lancaster-Division Street,11396
1H Substation,11358
Wamsutter,11316
PS 59,11292
Santa Rosa - 5th St,11260
CARPENTER,11220
New Orleans / City Park,11215
PFIZER LAB SITE,11117
MICMAC HEALTH DEPARTMENT,11110
North Birmingham,11020
1ZB Bloomfield,10980
Rockwell,10961
5ZR ON BLM LAND BORDERING RESIDENTIAL AREA OUTSIDE CARLSBAD CITY LIM,10910
5ZS Hobbs Jefferson,10838
SOUTH OF BADLANDS NP HEADQUARTERS,10826
Bakersfield-Golden / M St,10824
PDO - Portland Deering Oaks,10810
ROCKINGHAM CO. VDOT,10800
Belle Ayr BA-4,10738
Bountiful Viewmont,10657
Tucker-Idlewood Road,10647
Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park),10642
Carville,10638
LAT/LON=POINT SW CORNER OF TRAILER,10561
MINE CREEK,10522
Oakland,10509
Rosenstiel,10490
Morro Bay,10450
Pico Rivera #2,10446
SITE LOCATED OFF PARKING LOT 2.,10401
ON STATE SCHOOL #44,10399
South Pass,10386
Italy,10376
MARION,10376
DUNN CENTER,10366
Austin Audubon Society,10363
Kooker Park,10253
Grover Beach,10245
A420710007LAT/LON POINT AT CORNER OF TRAILER,10239
Campbell County,10218
State St-New Haven,10124
A420170012LAT/LONG POINT IS OF SAMPLING INLET,10118
Indpls- Washington Park/  in parking lot next to police station,10101
Meridian - St. Luke's,10047
WINTER PARK,9996
Lab Annex,9994
Murphy Ridge,9910
San Luis Obispo-Marsh St.,9909
Houston Texas Avenue,9879
Alexandria Health Dept.,9876
Sherwood Island Connector,9846
Mira Loma (Van Buren),9824
NARSTO SITE ARENDTSVILLE,9717
SAN ANTONIO DOWNTOWN  CAMS 27,9674
Ladue,9634
CHEROKEE HEIGHTS,9580
MOOSEHILL SCHOOL,9541
South Bend-Shields Dr.,9501
Oakland West,9492
PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96,9488
PINNACLE STATE PARK,9407
