local_site_name,count
QUABBIN RES,8939
Corsicana Airport,8934
Port Arthur Memorial School,8881
Bozeman High School,8782
Lebanon,8770
STILWELL,8766
Batavia,8756
Mira Loma (Van Buren),8737
Upland,8708
St. Marks Wildlife Refuge,8703
Seeley Elementary School,8693
Reseda,8667
CHEHALIS - MARKET BLVD,8666
Rahway,8658
Allen Park,8657
Hattie Avenue,8654
Port Angeles- W 14th St,8592
World Trade Bridge,8575
Sheffield,8568
Houston East,8554
Kingwood,8546
San Antonio Northwest,8541
National Seashore,8540
Odessa-Hays Elementary School,8532
Huron,8509
Hawthorne,8500
Crestline,8446
MCMILLAN  NCore-PAMS,8446
Salmon - Charles St.,8443
Painesville,8417
U of F Ag Research Center,8397
SEATTLE - OLIVE ST,8375
Eagle Pass,8355
PARR,8350
Neah Bay 2-Makah Tribe,8334
Vista View Park,8300
ASHLAND PRIMARY (FIVCO),8299
Erie,8260
Rome,8216
VANCOUVER - 4TH PL BLVD E,8210
Ascarate Park SE,8203
Brownsville,8201
Big Bend NP - K-Bar Ranch Road,8199
ALBANY COUNTY HEALTH DEPT,8180
Stuart,8096
HOLTSVILLE,8044
Valdosta,8044
GRAND ISLE BOULDVARD,7939
Clemmons Middle,7911
White Swan-Yakama Tribe,7887
Melbourne,7881
Cave Junction - USFS Office (CJFS),7878
CPS Pecan Valley,7878
PS 19,7870
Porterville,7858
Shelton - W Franklin,7855
Pride,7838
Hamshire,7837
Indpls- Washington Park/  in parking lot next to police station,7833
Paradise - Theater,7827
PROCTOR MAPLE RESEARCH CTR,7821
NCORE,7815
OWENSBORO PRIMARY,7794
John Day Dayton (JDD),7788
JFK,7763
Pocatello - Garrett and Gould,7738
Temecula,7729
South DeKalb,7712
Galveston 99th Street,7708
Morrison Ave,7691
Eugene - Hwy 99 (E99),7690
Lindon,7650
GR-MONROE,7626
Colerain,7615
FIRESTATION #1,7587
ODOT Ironton,7581
IEPA-RAPS TRAILER,7578
Sisters Forest Service Station (SFS),7576
Andersen School,7418
Escondido,7407
Lafayette / USGS,7386
HAZARD,7384
RICHMOND POST OFFICE,7330
TOPPENISH - WARD RD (YAKAMA TRIBE),7312
Memphis NCORE site,7304
Leggett,7300
FALL RIVER,7293
Rossville,7289
West Union,7284
San Jose - Jackson,7237
5ZS Hobbs Jefferson,7225
BELLINGHAM - YEW STREET,7223
Baptist Childrens' Home,7217
MCFARLAND HILL Air Pollutant Research Site,7213
Boundary Waters,7204
JACKSON PURCHASE (PADUCAH PRIMARY),7189
CITY OFFICE BUILDING,7096
Hickory Water Tower,7089
IVA,7070
BASKETT,7049
St. Michael Elementary School,6972
Apple Valley,6953
Mendenhall School,6947
William Owen School,6931
Idaho City,6925
Bee Ridge Park,6909
Green Valley,6885
Marion Sch.,6875
Hernando,6874
New Brunswick,6867
NORTHBROOK WATER PLANT,6863
Brigantine,6858
WORCESTER SUMMER STREET,6855
T.K. Gregg,6854
LOGAN #4,6831
Warner Robins,6814
DAYTONA BLIND SERVICES,6798
BERKSHIRE COMMONS,6793
