observation_count,count
24,10331061
23,187466
22,73065
21,35875
20,23369
19,17081
18,14439
14,13832
15,13498
17,13463
16,12994
13,12083
12,10923
11,9418
10,8528
9,7565
8,5817
7,4104
6,3045
5,2367
1,2358
4,2215
3,2105
2,1941
48,88
47,1
31,1
