observation_percent,count
100.0,10331149
96.0,187466
92.0,73065
88.0,35875
83.0,23369
79.0,17081
75.0,14439
58.0,13832
63.0,13498
71.0,13463
67.0,12994
54.0,12083
50.0,10923
46.0,9418
42.0,8528
38.0,7565
33.0,5817
29.0,4104
25.0,3045
21.0,2367
4.0,2358
17.0,2215
13.0,2105
8.0,1941
98.0,1
65.0,1
