cbsa_name,count
"Augusta-Waterville, ME",2253
"Duluth, MN-WI",2171
"Barnstable Town, MA",2156
"Clarksville, TN-KY",2119
"Manitowoc, WI",2044
"Minot, ND",2029
"Port St. Lucie, FL",2028
"Vineland-Bridgeton, NJ",2007
"Ponca City, OK",1812
"Fairbanks, AK",1801
"Athens, OH",1800
"Enid, OK",1711
"Jackson, MS",1636
"Lawton, OK",1614
"Pocatello, ID",1610
"Missoula, MT",1573
"Baraboo, WI",1535
"Cedar City, UT",1532
"Indiana, PA",1515
"Corning, NY",1494
"Miami, OK",1486
"Huntsville, AL",1452
"Killeen-Temple, TX",1405
"Brownsville, TN",1381
"Morristown, TN",1376
"Sanford, NC",1326
"Jackson, WY-ID",1284
"Coeur d'Alene, ID",1252
"Jackson, TN",1240
"Columbus, IN",1213
"Los Alamos, NM",1153
"Truckee-Grass Valley, CA",1105
"Richmond, IN",1087
"Tullahoma-Manchester, TN",1073
"Roanoke Rapids, NC",1025
"Redding, CA",1014
"Morgan City, LA",982
"Payson, AZ",976
"Billings, MT",843
"Cedar Rapids, IA",831
"Holland, MI",778
"Greeley, CO",746
"Orangeburg, SC",743
"Salisbury, MD-DE",740
"Yuma, AZ",733
"Lafayette-West Lafayette, IN",727
"Mountain Home, ID",707
"Longview, WA",674
"Monroe, LA",659
"Auburn, IN",628
"Montgomery, AL",575
"Grand Forks, ND-MN",562
"Laramie, WY",556
"Shreveport-Bossier City, LA",533
"Pontiac, IL",512
"Danville, VA",434
"Cookeville, TN",424
"Moses Lake, WA",404
"Sheridan, WY",372
"Portsmouth, OH",368
"Corinth, MS",366
"Tupelo, MS",365
"Hermiston-Pendleton, OR",365
"Central City, KY",365
"Florence-Muscle Shoals, AL",363
"Scottsboro, AL",360
"Canton-Massillon, OH",359
"Union City, TN-KY",357
"Parkersburg-Vienna, WV",316
"Carson City, NV",276
"Durham-Chapel Hill, NC",228
"Red Wing, MN",225
"Greensboro-High Point, NC",204
"Oxford, NC",203
"Coco, PR",163
"Seneca, SC",157
"Madison, WI",156
"Sheboygan, WI",119
"Ludington, MI",88
"Niles-Benton Harbor, MI",87
