aqi,count
19,288180
6,228044
13,179562
12,179384
14,177460
11,176822
15,173092
10,169832
16,168020
17,162634
9,162121
18,154947
8,149864
7,137433
20,132562
21,125893
31,124116
22,118235
23,111121
24,104692
25,97718
26,91156
5,88383
27,84975
28,79360
29,73595
30,68747
4,67984
32,55515
33,51751
34,48088
44,46389
35,44939
3,44841
36,42050
37,38745
38,36287
39,33839
40,31702
41,29260
42,27669
51,27634
2,26628
43,25809
52,24658
53,21296
45,21272
46,20009
54,19106
47,18293
48,17451
55,16923
49,16253
50,15304
56,15031
57,13465
1,13306
58,11699
59,10771
60,9583
0,8683
61,8408
62,7691
63,6967
64,6332
65,5714
66,5072
67,4703
68,4262
69,3937
70,3530
71,3252
72,2970
73,2855
74,2490
75,2305
76,2140
77,2030
78,1874
79,1603
80,1586
81,1485
83,1314
82,1290
84,1159
85,1123
86,1067
87,949
89,853
88,852
90,797
91,770
92,702
93,668
95,606
94,585
96,534
97,528
98,497
100,450
101,444
102,422
99,415
103,386
106,360
104,355
108,351
107,344
105,329
110,317
109,303
115,252
111,249
112,247
113,244
116,240
114,228
117,218
122,205
119,204
118,201
121,191
123,189
126,172
120,171
128,162
125,155
127,147
129,146
131,138
133,133
132,133
124,132
136,130
130,126
134,119
135,114
141,113
137,111
138,110
140,108
139,101
142,95
148,89
147,87
145,85
143,85
144,83
153,81
149,77
146,72
155,70
151,68
161,66
157,66
150,65
152,64
166,61
154,60
165,60
160,59
158,59
175,56
156,54
163,53
162,50
159,50
167,49
176,47
172,46
164,46
168,45
173,45
170,44
171,43
190,42
183,41
177,40
178,40
187,39
169,38
180,37
186,36
185,34
184,34
174,33
182,32
192,32
179,30
191,30
195,29
193,28
194,28
198,27
181,27
199,26
189,26
188,24
200,23
196,20
197,19
895,19
205,17
207,16
214,13
210,13
277,13
218,13
233,13
212,12
881,12
202,12
268,12
300,12
208,12
221,12
211,12
204,12
296,12
240,12
305,11
315,11
227,11
228,11
247,11
366,10
273,10
312,10
201,10
215,10
264,10
248,10
337,10
225,10
230,10
244,10
217,10
234,9
243,9
278,9
223,9
238,9
220,9
224,9
235,9
245,9
320,9
425,9
283,9
266,9
251,9
331,9
354,9
352,8
455,8
310,8
253,8
319,8
250,8
270,8
365,8
267,8
280,8
276,8
347,8
417,8
241,8
289,8
299,8
355,7
397,7
274,7
322,7
385,7
257,7
307,7
404,7
608,7
886,7
258,7
329,7
254,7
332,7
231,7
359,7
416,7
271,7
263,7
237,7
325,7
406,7
261,7
345,7
381,7
290,7
294,7
384,6
297,6
306,6
538,6
400,6
260,6
420,6
357,6
361,6
334,6
437,6
327,6
356,6
369,6
374,6
281,6
286,6
630,6
293,6
390,6
364,6
377,6
427,5
542,5
287,5
422,5
371,5
561,5
379,5
324,5
548,5
501,5
412,5
399,5
360,5
256,5
316,5
676,5
415,5
380,5
449,5
317,5
367,5
543,5
382,5
335,4
409,4
351,4
429,4
623,4
389,4
330,4
809,4
314,4
544,4
394,4
521,4
506,4
690,4
410,4
458,4
540,4
418,4
536,4
677,4
433,4
554,4
344,4
444,4
326,4
407,4
401,4
549,4
311,4
402,4
408,4
532,4
520,4
617,4
387,3
615,3
424,3
551,3
503,3
411,3
825,3
405,3
302,3
490,3
461,3
647,3
576,3
523,3
891,3
550,3
631,3
522,3
440,3
481,3
507,3
590,3
459,3
482,3
753,3
432,3
421,3
350,3
446,3
386,3
375,3
452,3
426,3
468,3
460,3
284,3
431,3
485,3
577,3
569,3
546,3
527,3
462,3
396,3
486,3
539,3
403,3
666,3
996,3
391,3
489,3
372,3
675,3
434,3
553,3
483,3
994,3
336,3
1170,3
808,3
545,3
376,3
874,3
435,3
473,3
552,3
436,3
445,3
515,3
537,3
589,3
349,3
555,2
594,2
370,2
607,2
529,2
747,2
794,2
1006,2
698,2
730,2
1066,2
1402,2
346,2
605,2
650,2
622,2
672,2
710,2
658,2
738,2
737,2
826,2
1250,2
812,2
2148,2
1105,2
1566,2
1281,2
736,2
457,2
680,2
448,2
652,2
463,2
1410,2
767,2
419,2
960,2
1819,2
1553,2
659,2
884,2
1068,2
754,2
1072,2
644,2
413,2
484,2
1005,2
1245,2
511,2
873,2
1204,2
908,2
454,2
2576,2
309,2
654,2
509,2
762,2
896,2
892,2
748,2
1305,2
957,2
1550,2
494,2
640,2
625,2
472,2
646,2
465,2
731,2
902,2
1124,2
1786,2
487,2
342,2
1057,2
582,2
694,2
1032,2
291,2
1345,2
547,2
911,2
1026,2
430,2
877,2
744,2
1296,2
786,2
775,2
438,2
442,2
443,2
564,2
428,2
725,2
857,2
496,2
395,2
743,2
696,2
624,2
583,2
500,2
451,2
524,2
565,2
586,2
667,2
716,2
541,2
664,2
321,2
699,2
606,2
493,2
662,2
528,2
414,2
474,2
560,2
1039,1
2974,1
6488,1
638,1
3323,1
441,1
2405,1
865,1
1001,1
10829,1
1217,1
1243,1
611,1
6173,1
8195,1
2647,1
1475,1
1963,1
573,1
1132,1
958,1
1413,1
9916,1
1431,1
1129,1
1162,1
13276,1
3950,1
1333,1
1091,1
1387,1
706,1
2837,1
1732,1
1608,1
909,1
2279,1
1120,1
568,1
3065,1
531,1
563,1
439,1
655,1
4021,1
1270,1
796,1
637,1
1936,1
5121,1
1532,1
3743,1
2415,1
3439,1
997,1
3436,1
2100,1
1373,1
995,1
1531,1
1734,1
4782,1
16515,1
2413,1
1107,1
2110,1
467,1
953,1
1277,1
801,1
2632,1
1646,1
2414,1
6742,1
2015,1
508,1
2094,1
3994,1
4187,1
2433,1
1396,1
2034,1
4240,1
827,1
1679,1
3198,1
1246,1
978,1
2542,1
505,1
3415,1
3481,1
513,1
588,1
778,1
579,1
750,1
1904,1
2083,1
1805,1
3601,1
5816,1
1161,1
559,1
1080,1
733,1
2050,1
1865,1
609,1
2060,1
2919,1
1220,1
751,1
2431,1
491,1
1977,1
740,1
2184,1
510,1
4065,1
567,1
985,1
732,1
1065,1
1232,1
3868,1
580,1
3289,1
830,1
2985,1
763,1
702,1
1997,1
2533,1
705,1
2797,1
2240,1
833,1
4196,1
3808,1
1640,1
707,1
301,1
928,1
2459,1
3852,1
2191,1
756,1
2002,1
678,1
6401,1
5641,1
3101,1
849,1
585,1
1108,1
810,1
802,1
3085,1
1733,1
4378,1
4228,1
776,1
974,1
758,1
2992,1
2223,1
879,1
1205,1
4466,1
3190,1
1538,1
620,1
2267,1
3350,1
712,1
636,1
822,1
1118,1
1588,1
2056,1
514,1
5472,1
2799,1
6234,1
1112,1
1706,1
2420,1
1425,1
12056,1
959,1
2534,1
526,1
10856,1
967,1
2434,1
2077,1
10446,1
2004,1
1384,1
795,1
2206,1
447,1
1611,1
894,1
1763,1
2045,1
1383,1
2665,1
4026,1
20646,1
1008,1
1378,1
1365,1
703,1
850,1
1657,1
610,1
1360,1
649,1
931,1
1774,1
679,1
492,1
665,1
519,1
341,1
844,1
1110,1
2294,1
2723,1
1126,1
587,1
1236,1
1164,1
790,1
3180,1
1766,1
709,1
1357,1
1585,1
613,1
819,1
4809,1
1114,1
3218,1
783,1
466,1
2125,1
1158,1
1635,1
711,1
478,1
1349,1
1797,1
1122,1
673,1
1773,1
867,1
450,1
584,1
1593,1
3830,1
4367,1
1012,1
1137,1
6598,1
1334,1
715,1
2011,1
499,1
1523,1
1338,1
686,1
800,1
2954,1
488,1
1680,1
3677,1
633,1
2885,1
973,1
1866,1
926,1
10406,1
495,1
1737,1
1111,1
685,1
3884,1
1928,1
556,1
593,1
1502,1
768,1
1029,1
2514,1
836,1
2982,1
804,1
480,1
534,1
1940,1
889,1
1587,1
5020,1
11936,1
2842,1
618,1
574,1
726,1
841,1
774,1
1084,1
2556,1
362,1
3434,1
846,1
1851,1
897,1
671,1
1337,1
643,1
704,1
684,1
983,1
2626,1
927,1
2699,1
1638,1
475,1
1042,1
557,1
14043,1
718,1
1160,1
1675,1
1302,1
1239,1
1441,1
1301,1
823,1
1174,1
1141,1
2903,1
792,1
642,1
1898,1
777,1
1480,1
1806,1
2071,1
1968,1
645,1
471,1
3352,1
1343,1
2296,1
10362,1
2349,1
1872,1
2564,1
1503,1
1237,1
755,1
1698,1
7752,1
1455,1
6967,1
498,1
2394,1
2489,1
2274,1
1094,1
1271,1
614,1
1049,1
863,1
1400,1
929,1
1717,1
621,1
6067,1
1263,1
1996,1
1109,1
2451,1
1681,1
7811,1
724,1
2858,1
2999,1
2161,1
2344,1
1919,1
3812,1
3340,1
1811,1
1363,1
597,1
1760,1
1818,1
714,1
693,1
1053,1
10736,1
728,1
6126,1
944,1
1824,1
2421,1
596,1
1589,1
1020,1
9545,1
1341,1
1134,1
739,1
772,1
930,1
3080,1
1286,1
663,1
476,1
1686,1
2890,1
1273,1
1116,1
1113,1
1534,1
1062,1
1064,1
5062,1
1660,1
1368,1
3927,1
392,1
1033,1
570,1
612,1
3191,1
2578,1
504,1
1052,1
1392,1
1409,1
1329,1
619,1
2735,1
2165,1
1234,1
950,1
1351,1
1264,1
766,1
627,1
1890,1
516,1
883,1
3779,1
1926,1
3825,1
765,1
1377,1
2416,1
770,1
6403,1
2465,1
5179,1
16358,1
2078,1
9058,1
1034,1
2955,1
2212,1
