cbsa_name,count
"Salem, OH",2134
"Payson, AZ",2133
"Bismarck, ND",2131
"Malone, NY",2130
"Boulder, CO",2106
"Charleston, WV",2104
"Modesto, CA",2047
"Mobile, AL",1966
"Farmington, NM",1922
"Enid, OK",1855
"Athens, OH",1826
"Racine, WI",1797
"Laramie, WY",1698
"Sanford, NC",1656
"Iowa City, IA",1650
"Staunton-Waynesboro, VA",1638
"Corpus Christi, TX",1548
"Los Alamos, NM",1543
"Cedar City, UT",1515
"Elko, NV",1492
"Mason City, IA",1490
"Atlantic City-Hammonton, NJ",1417
"Harrison, AR",1410
"Wausau, WI",1399
"Asheville, NC",1368
"Pittsfield, MA",1345
"Homosassa Springs, FL",1289
"Eugene, OR",1250
"Decatur, AL",1234
"Baraboo, WI",1222
"Middlesborough, KY",1220
"Glens Falls, NY",1208
"Savannah, GA",1185
"Ellensburg, WA",1165
"Marietta, OH",1164
"Red Bluff, CA",1137
"Charleston-North Charleston, SC",1098
"Jamestown, ND",1096
"Santa Cruz-Watsonville, CA",1073
"Prescott, AZ",1023
"Gaffney, SC",1023
"Montrose, CO",981
"Waterloo-Cedar Falls, IA",953
"Scottsbluff, NE",896
"San Juan-Carolina-Caguas, PR",814
"Akron, OH",799
"Taos, NM",782
"Greeley, CO",767
"Berlin, NH-VT",734
"Mountain Home, ID",731
"Bellingham, WA",718
"Cullowhee, NC",675
"Alpena, MI",663
"Salisbury, MD-DE",650
"New Orleans-Metairie, LA",625
"Scranton--Wilkes-Barre--Hazleton, PA",607
"Centralia, WA",585
"Grants Pass, OR",578
"Roswell, NM",565
"Macon, GA",535
"Branson, MO",467
"Clarksville, TN-KY",465
"Ithaca, NY",456
"Gettysburg, PA",456
"Youngstown-Warren-Boardman, OH-PA",456
"Bangor, ME",428
"Spokane-Spokane Valley, WA",423
"Cambridge, OH",409
"Anchorage, AK",402
"Milledgeville, GA",388
"Brownsville-Harlingen, TX",382
"Ruidoso, NM",375
"Burley, ID",362
"Lake Havasu City-Kingman, AZ",326
"Winona, MN",315
"Espa?ola, NM",290
"Emporia, KS",284
"Kingsville, TX",282
"Shawnee, OK",259
"Vineyard Haven, MA",254
"Espa¤ola, NM",243
"Alamogordo, NM",223
"Las Cruces, NM",205
"Eagle Pass, TX",189
"Fredericksburg, TX",186
"Elizabethtown-Fort Knox, KY",171
"Florence-Muscle Shoals, AL",148
"San Antonio-New Braunfels, TX",133
"Hanford-Corcoran, CA",102
"Washington, NC",92
"Ada, OK",90
"Merced, CA",76
"Steamboat Springs, CO",63
"Toledo, OH",59
