observation_percent,count
100.0,2385166
96.0,1364531
92.0,384429
88.0,149079
83.0,79581
79.0,42321
75.0,26064
71.0,17121
67.0,12690
63.0,9407
58.0,7945
42.0,7300
54.0,7112
50.0,6944
38.0,6882
46.0,6853
33.0,5650
29.0,3845
4.0,2816
25.0,2539
8.0,2460
17.0,2096
21.0,1696
13.0,1525
