observation_count,count
24,2385083
23,1364497
22,384427
21,149079
20,79582
19,42321
18,26065
17,17121
16,12690
15,9407
14,7946
10,7300
13,7113
12,6944
9,6882
11,6854
8,5650
7,3845
1,2851
6,2539
2,2524
4,2107
5,1697
3,1528
