observation_count,count
24,3307270
1,142887
23,36110
22,17542
21,9700
20,6482
19,4957
17,4411
18,4297
16,4159
15,3953
14,3554
13,3330
12,3146
11,2805
10,2424
9,2130
8,1639
7,1245
6,885
5,704
4,645
3,546
2,532
