observation_count,count
8,3720257
24,3713700
7,2060538
23,1785195
22,409273
6,327083
21,151503
5,90626
20,62982
4,40613
19,31322
3,27072
18,19677
2,14872
17,13473
16,10623
1,10201
15,9486
14,9040
13,8810
12,8374
11,7602
10,7329
9,6577
