observation_percent,count
100.0,3956131
96.0,2431081
92.0,721395
88.0,286654
83.0,149174
79.0,81259
75.0,50144
71.0,32538
67.0,23699
63.0,17570
58.0,15093
42.0,13267
54.0,12987
50.0,12524
38.0,12343
46.0,12305
33.0,10605
29.0,7353
4.0,5314
25.0,5162
8.0,4860
17.0,4299
21.0,3581
13.0,3493
