observation_percent,count
100.0,5265076
96.0,102324
92.0,51354
88.0,26192
83.0,13618
79.0,8784
75.0,6422
58.0,5180
71.0,5101
54.0,4953
50.0,4883
46.0,4674
67.0,4646
42.0,4452
63.0,4408
38.0,3841
33.0,2811
29.0,1929
25.0,1318
21.0,1066
17.0,847
4.0,725
13.0,655
8.0,645
