method_code,count
60,1915624
100,884299
20,755498
9,691620
39,606202
61,426388
560,352758
600,188365
92,147624
77,89044
23,87476
75,53210
592,25840
46,14560
22,11539
16,6816
24,5777
14,5167
188,4308
101,1868
32,1571
5,181
11,181
237,133
115,35
