date_of_last_change,count
2021-10-07,3408
2022-04-12,3391
2016-02-25,3390
2015-01-29,3386
2022-04-25,3370
2019-01-24,3350
2020-01-30,3349
2014-02-07,3326
2016-04-27,3326
2022-04-08,3325
2014-02-24,3281
2018-02-13,3275
2016-01-07,3250
2018-11-30,3244
2015-04-23,3221
2014-03-17,3202
2021-04-19,3201
2019-06-24,3198
2019-01-08,3187
2015-07-02,3182
2014-02-27,3161
2019-12-13,3160
2015-07-01,3111
2016-02-26,3063
2022-04-21,3056
2019-02-22,3034
2017-05-17,3032
2021-03-05,3026
2016-01-08,3025
2016-02-17,3017
2018-04-24,3012
2016-11-15,2971
2022-05-27,2961
2022-04-27,2944
2022-05-06,2930
2021-03-12,2920
2014-01-21,2919
2019-02-07,2918
2020-03-18,2915
2017-04-27,2908
2022-01-03,2896
2016-03-11,2891
2016-04-14,2890
2017-02-09,2884
2017-04-03,2880
2022-02-18,2880
2014-02-13,2880
2017-01-24,2880
2018-04-09,2854
2019-03-06,2854
2015-01-26,2854
2022-03-25,2852
2021-02-15,2834
2021-03-04,2828
2016-10-10,2810
2020-04-14,2795
2022-01-18,2786
2022-06-01,2783
2019-03-15,2777
2014-04-16,2765
2014-11-19,2756
2015-06-08,2754
2014-02-28,2750
2014-04-23,2744
2020-01-17,2724
2017-03-21,2707
2014-04-30,2680
2019-01-15,2676
2014-04-10,2676
2015-03-16,2674
2015-08-04,2650
2018-03-26,2650
2015-04-17,2645
2014-05-20,2622
2016-06-10,2618
2015-07-27,2612
2020-05-14,2611
2018-03-22,2570
2021-01-19,2568
2022-03-01,2566
2016-01-28,2545
2022-03-30,2543
2016-03-31,2529
2020-01-16,2512
2020-02-07,2505
2014-05-09,2504
2019-02-11,2492
2017-04-13,2488
2021-11-24,2466
2014-03-19,2456
2020-02-06,2442
2018-01-04,2441
2016-03-21,2409
2018-04-16,2408
2016-03-15,2398
2022-05-12,2396
2023-05-05,2379
2022-03-23,2356
2020-07-24,2343
2017-01-06,2338
2016-02-11,2311
2018-03-02,2294
2015-02-27,2293
2017-04-14,2290
2014-02-14,2274
2017-04-26,2271
2019-04-29,2260
2022-04-11,2248
2017-06-20,2241
2015-03-12,2233
2014-12-30,2231
2023-04-24,2218
2018-01-09,2213
2014-04-02,2206
2021-03-18,2196
2015-01-12,2190
2019-02-08,2190
2021-10-26,2188
2015-02-20,2186
2020-02-20,2184
2020-02-11,2182
2019-03-07,2182
2018-04-12,2180
2014-01-31,2180
2015-09-10,2179
2016-04-20,2172
2022-05-31,2171
2020-02-24,2168
2015-04-07,2164
2020-03-09,2158
2022-01-19,2156
2017-01-27,2154
2018-04-11,2151
2015-06-30,2146
2022-03-07,2142
2022-02-25,2140
2020-04-30,2136
2021-04-22,2127
2016-02-18,2121
2017-03-31,2110
2014-06-06,2104
2015-04-01,2102
2018-01-11,2100
2020-04-02,2096
2018-01-26,2093
2014-02-12,2092
2018-09-24,2090
2019-03-22,2086
2018-04-29,2082
2015-02-25,2082
2022-04-06,2076
2021-01-15,2068
2020-11-30,2060
2016-04-25,2060
2020-02-28,2054
2018-06-06,2054
2016-03-08,2050
2019-06-12,2044
2016-06-30,2040
2019-04-26,2040
2020-02-18,2038
2021-04-09,2038
2019-01-07,2036
2017-04-25,2030
2016-05-09,2029
2020-12-01,2021
2016-08-31,2017
2017-03-01,2014
