cbsa_name,count
"Appleton, WI",8930
"Greeley, CO",8808
"Nogales, AZ",8663
"Grand Junction, CO",8622
"Bloomington, IL",8549
"Lebanon, PA",8514
"St. George, UT",8467
"Norwich-New London, CT",8413
"Ponca City, OK",8360
"Spartanburg, SC",8279
"Gainesville, FL",8240
"Rutland, VT",8228
"Boise City, ID",8205
"Champaign-Urbana, IL",8178
"Boulder, CO",8166
"Watertown, SD",8132
"Wilmington, NC",8121
"Bangor, ME",8095
"Altoona, PA",7990
"Kingsport-Bristol-Bristol, TN-VA",7974
"Beaver Dam, WI",7966
"Savannah, GA",7916
"Jackson, WY-ID",7880
"Marshall, MN",7713
"Wheeling, WV-OH",7563
"Salisbury, MD-DE",7535
"Atlantic City-Hammonton, NJ",7503
"Kokomo, IN",7492
"Baraboo, WI",7470
"Athens-Clarke County, GA",7410
"Kapaa, HI",7397
"Portland-South Portland, ME",7342
"Yuba City, CA",7256
"Bowling Green, KY",7256
"Lawton, OK",7236
"Bremerton-Silverdale, WA",7201
"Truckee-Grass Valley, CA",7190
"Colorado Springs, CO",7156
"Vernal, UT",7015
"Sault Ste. Marie, MI",6979
"Medford, OR",6948
"Sheridan, WY",6944
"Bennington, VT",6919
"Carson City, NV",6889
"Fayetteville, NC",6817
"Fort Collins, CO",6813
"Cambridge, MD",6806
"Brookings, SD",6780
"Bellingham, WA",6758
"Yuma, AZ",6663
"Lewiston-Auburn, ME",6591
"Glenwood Springs, CO",6556
"Torrington, CT",6477
"Dickinson, ND",6454
"Gardnerville Ranchos, NV",6416
"North Port-Sarasota-Bradenton, FL",6358
"Topeka, KS",6298
"Pensacola-Ferry Pass-Brent, FL",6254
"Elizabethtown-Fort Knox, KY",6249
"Lexington-Fayette, KY",6150
"Ardmore, OK",6132
"Ann Arbor, MI",6050
"Napa, CA",6026
"Brownsville-Harlingen, TX",6012
"Mount Vernon-Anacortes, WA",5861
"La Crosse-Onalaska, WI-MN",5838
"Columbus, IN",5831
"Billings, MT",5820
"McAllen-Edinburg-Mission, TX",5781
"Springfield, OH",5727
"Cape Coral-Fort Myers, FL",5725
"Jackson, TN",5698
"Platteville, WI",5612
"Montgomery, AL",5587
"Holland, MI",5547
"Santa Fe, NM",5534
"Hattiesburg, MS",5521
"Eureka-Arcata-Fortuna, CA",5512
"Lakeland-Winter Haven, FL",5479
"Hobbs, NM",5442
"Gainesville, GA",5433
"East Stroudsburg, PA",5404
"Paducah, KY-IL",5363
"Klamath Falls, OR",5316
"Owensboro, KY",5260
"Greenfield Town, MA",5246
"Decatur, AL",5245
"Bemidji, MN",5168
"Sierra Vista-Douglas, AZ",5104
"Warner Robins, GA",5058
"Pierre, SD",5007
"Williston, ND",4993
"Springfield, IL",4932
"Chico, CA",4912
"Flint, MI",4872
"Cookeville, TN",4862
"Ellensburg, WA",4854
"Mobile, AL",4851
"Dyersburg, TN",4772
"Deltona-Daytona Beach-Ormond Beach, FL",4764
"Lake Charles, LA",4730
"Peoria, IL",4721
"Seneca, SC",4664
"Charlottesville, VA",4656
"Greenville, NC",4644
"Athens, TN",4598
"Lawrenceburg, TN",4539
"Mount Vernon, IL",4511
"Decatur, IL",4469
"Kalamazoo-Portage, MI",4462
"Cleveland, MS",4388
"Texarkana, TX-AR",4378
"Gadsden, AL",4317
"Lafayette, LA",4308
"Grand Island, NE",4270
"Rock Springs, WY",4233
"Visalia-Porterville, CA",4232
"Laconia, NH",4213
"Red Bluff, CA",4169
"Eau Claire, WI",4150
"Sayre, PA",4142
"Aberdeen, SD",4060
"Casper, WY",4023
"Rome, GA",3965
"Lincoln, NE",3957
"Fort Smith, AR-OK",3911
"Vineland-Bridgeton, NJ",3893
"Cadillac, MI",3864
"Rockford, IL",3830
"Minot, ND",3814
"Palm Bay-Melbourne-Titusville, FL",3789
"Scottsbluff, NE",3777
"Durango, CO",3758
"Lansing-East Lansing, MI",3722
"Bay City, MI",3680
"Odessa, TX",3661
"Shreveport-Bossier City, LA",3658
"Ponce, PR",3648
"Michigan City-La Porte, IN",3641
"Amarillo, TX",3623
"Lima, OH",3621
