observation_count,count
1,4707909
24,1665153
23,117737
22,55544
21,23990
20,11240
19,6627
13,4649
18,4609
12,4572
14,4524
11,4331
10,4220
15,4083
16,3891
17,3786
9,3619
8,2949
7,1950
6,1343
5,1010
4,874
2,756
3,752
