sample_duration,count
24 HOUR,9439135
1 HOUR,247148
3 HOURS,149509
COMPOSITE DATA,30150
8 HOUR,4932
12 HOUR,4221
4 HOUR,4121
15 MINUTE,1523
6 HOUR,572
5 HOUR,110
