county_name,count
Caddo,4685
Benewah,4679
Oconee,4664
Albemarle,4656
Pitt,4644
Blount,4643
Carlton,4629
Anne Arundel,4627
McMinn,4598
Jersey,4553
Mono,4521
Macon,4469
DuPage,4466
Kalamazoo,4462
Orleans,4452
Bolivar,4388
Galveston,4349
Lowndes,4321
Etowah,4317
Winnebago,4316
Lafayette,4308
Rock Island,4299
Morris,4298
Iberville,4275
Sweetwater,4233
Tulare,4232
Harney,4226
Belknap,4213
Ada,4205
Arlington,4199
Tehama,4169
Vilas,4156
Eau Claire,4150
Bradford,4142
Marshall,4116
Bell,4102
Caswell,4102
Hunterdon,4096
Bowie,4060
Ashland,4023
Natrona,4023
Trego,3911
Brewster,3900
Missaukee,3864
Okanogan,3853
Canyon,3822
Ward,3814
Brevard,3789
Scotts Bluff,3777
La Plata,3758
Roanoke,3744
Ingham,3722
Rowan,3685
Ector,3661
LaPorte,3641
Perry,3640
Potter,3623
Colbert,3546
Dubois,3542
Scioto,3535
Fajardo,3527
Tangipahoa,3518
Tuscaloosa,3509
Pottawattamie,3504
Norfolk,3468
Glynn,3434
Lenawee,3424
St. Clair,3409
Norfolk City,3385
Wood,3355
Duplin,3348
Iron,3348
Roanoke City,3341
Christian,3328
Shasta,3289
Webb,3287
Arkansas,3284
Macomb,3278
Frederick,3273
Saint Clair,3244
Henderson,3221
Black Hawk,3170
Siskiyou,3168
Lubbock,3100
Kane,3097
Cabell,3079
Leon,3067
Taos,3016
Ohio,2991
Garland,2940
Kleberg,2926
Monongalia,2913
Berkeley,2867
Florence,2851
Charles,2846
Jerome,2821
Martin,2819
Maverick,2818
Woodbury,2812
Sandoval,2786
Umatilla,2781
Neosho,2764
Ouachita,2720
Bristol City,2712
Arapahoe,2710
Edgefield,2708
Loudoun,2685
Chelan,2680
Clayton,2671
Delta,2656
Van Buren,2633
Crittenden,2610
McDowell,2610
Lynchburg City,2595
Terrebonne,2591
Pueblo,2587
Rapides,2586
Henry,2586
Ashley,2577
Oakland,2562
Chautauqua,2560
Merrimack,2535
Portage,2482
Baldwin,2472
Bayamon,2410
McHenry,2403
Salem City,2389
Gloucester,2377
Passaic,2333
Citrus,2332
Muskegon,2330
Susquehanna,2300
Luzerne,2292
Spencer,2232
Berrien,2201
Nassau,2191
Yolo,2153
Schoolcraft,2088
St. Bernard,2083
Ponce,2082
Talladega,2082
Palo Alto,2031
Paulding,2019
Watauga,2010
Haywood,2006
Sequoyah,1993
Faulkner,1990
Athens,1979
Stevens,1973
Gaston,1966
Wilkinson,1935
Denton,1862
Page,1860
Sebastian,1847
Robeson,1793
Raleigh,1792
Guayama,1782
Carbon,1753
Nowata,1751
Lenoir,1744
Lycoming,1729
Sumter,1712
Niagara,1696
Manistee,1689
Alamance,1668
St. Lucie,1636
Goshen,1609
Edgecombe,1604
Guayanilla,1566
Mayes,1566
Jones,1549
Chesapeake City,1548
Love,1533
Bullitt,1482
Pope,1481
Lauderdale,1465
Wyoming,1464
Brazos,1453
Saint Charles,1443
Westchester,1419
Deschutes,1418
Crook,1389
Horry,1388
Josephine,1367
Manitowoc,1352
Chaves,1345
Atascosa,1327
Kenai Peninsula ,1295
St Thomas,1294
Kenton,1293
Benton,1290
Muskogee,1289
Sanders,1279
White,1266
La Salle,1252
Adair,1249
Trinity,1237
Apache,1231
Sainte Genevieve,1205
Cascade,1140
St Croix,1137
Adjuntas,1127
Georgetown,1117
Ellis,1114
Humacao,1082
Mayagnez,1082
Coos,1077
Mille Lacs,1061
Onslow,1039
Elbert,1029
Greenwood,1023
St. Croix,982
Grenada,979
Manatee,964
Del Norte,957
Beaufort,937
Gila,928
Cherokee,928
Gage,923
St. Lawrence,889
Saginaw,885
Weston,847
Coconino,814
Indiana,782
El Dorado,772
Power,770
Clermont,757
Belmont,751
Summers,740
Craighead,726
Columbia,714
Winona,713
Addison,713
Cabarrus,706
Big Horn,692
Newport News City,676
Bonneville,673
Rankin,666
Gregg,659
Cerro Gordo,650
Pearl River,648
Twin Falls,632
Kootenai,628
Saskatchewan,613
Coffee,609
Jasper,601
Emmet,595
Thurston,584
Nez Perce,559
Mohave,557
Mississippi,550
Kennebec,545
Bonner,535
Idaho,528
Lares,509
Rock,500
Boone,486
Door,483
Meade,478
Pasquotank,468
Concordia,454
Gibson,444
Story,436
Oneida,436
Schenectady,419
Dutchess,414
Montezuma,414
Gunnison,409
Caldwell,403
Archuleta,402
Collin,387
McLennan,370
San Miguel,366
Broome,348
Yavapai,342
Denali ,340
Deuel,336
Cherry,336
Grand Forks,326
Maries,322
Miller,318
Brazoria,313
Wasco,313
Routt,304
Alpena,304
Boundary,299
Canadian,290
Grand Traverse,290
Caguas,281
Aiken,280
Santa Rosa,277
Pawnee,252
Edmonson,251
Kaufman,250
Howell,243
Alexandria City,230
Orangeburg,229
Laurel,222
Bremer,215
Payne,215
Whitman,208
SONORA,172
Jeff Davis,167
Steele,166
Modoc,165
Tama,152
Lewis,127
Skagway-Hoonah-Angoon,125
Asotin,124
St. Tammany,112
Boise,109
Ketchikan Gateway ,102
Grays Harbor,98
Waupaca,98
Dickinson,92
Clallam,88
Pottawatomie,88
Caribou,85
Mason,80
Colleton,79
Freeborn,75
Le Flore,71
Cowlitz,69
Gem,69
Skamania,62
Navarro,62
Walla Walla,62
McLeod,61
Macoupin,58
Valley,56
Latah,56
Nicollet,50
Itasca,46
Otter Tail,42
Plaquemines,42
Kandiyohi,42
Nash,26
St. Charles,18
