observation_percent,count
100.0,3449430
96.0,36110
92.0,17542
88.0,9700
83.0,6482
79.0,4957
71.0,4411
75.0,4297
67.0,4159
63.0,3953
58.0,3554
54.0,3330
50.0,3146
46.0,2805
42.0,2424
38.0,2130
33.0,1639
29.0,1245
25.0,885
4.0,727
21.0,704
17.0,645
13.0,546
8.0,532
