address,count
"EL DORADO SPRINGS: Highway 97 & Barnes Road, El Dorado Springs, 64744",9655
"10848 HWY 76, PALA, CA 92059",9618
1039 SAND ISLAND PARKWAY,9602
Larwill-  710 N. State Rd. 5,9584
"2323 Moorpark Road, Thousand Oaks, CA  91360",9580
"105 N MAIN ST, UKIAH, CA 95482",9571
"420 34th Street N.E.,Washington, DC 20019",9550
MD Correctional Institution  18530 Roxbury Road,9550
3810 Huisache Street,9478
NCore - North Cheyenne Soccer Complex,9478
Pinedale Gaseous Monitor on west side of City Park and Pine Creek,9455
793 Rincon Ave.,9444
402 SOUTH 4TH AVE,9425
1130 EASTWAY DRIVE,9370
960 Bostwick Lane,9357
"7200-22 Avenue N., St. Petersburg, FL 33710",9320
" 900 S MINARET STREET, TURLOCK, CA",9310
"1200 NW 20th St, Miami, FL 33142",9299
104 AIRPORT ROAD,9276
ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS,9262
418 Mineral Ave,9253
"PORTSMOUTH, PEIRCE ISLAND",9246
1300 BLK. HATTIE AVENUE,9236
9925 International Blvd,9212
37TH & SOUTHERN AVENUE,9211
"LADUE: 73 Hunter Avenue, Ladue, MO 63105",9203
4250 Karen Ave,9165
"I-15 Exit 209, then Sperry Dr.",9161
"STA. 46-B9, LEE PARK, TELEGRAPH ROAD",9160
"33 W TAMARISK AVE, PHOENIX",9145
31986 475th Ave,9142
HARRISON AVE,9127
200 LEISURE LANE [IRMO],9124
9399 Lima St,9120
"ARNOLD WEST: 1709 Lonedell Drive, Arnold, MO 63010",9119
9TH & PRINCEVILLE,9091
"1630 N MAIN ST, LOS ANGELES",9088
"EAST HIGH, 1415 E. WALNUT",9051
2401 HARTMAN STREET  MATH & SCIENCE CTR,9015
1321 University Dr.,9000
"1300 GUADALUPE RD., NIPOMO, CA., 93444",8996
"  Edgewood  Chemical Biological Center (APG), Waehli Road",8979
4579 N. Meade Street,8930
"50 NATOMA STREET, FOLSOM",8919
844 N. Scatterfield - Anderson Eastside Elementary,8918
PACK MONADNOCK SUMMIT,8912
2745 Prairie St./ South Well Field,8899
"HARRISON COURT,SITE LOCATED AT END OF CUL-DE-SAC",8895
"545 CENTRAL AVENUE, OXNARD, CA  93030",8892
"BRANCH STREET: 100 Branch Street, St. Louis, MO 63102",8863
"PINEHURST/PINEHURST SCHOOL, PINEHURST",8796
"16134 Beckwith St, Frenchtown, MT",8788
"501 GOLD STRIKE ROAD, SAN ANDREAS",8782
MCCARRELL AND FAYETTE STS,8766
1085 FIR ST,8760
1979 Fairview Rd,8759
9525 1/2 Clinton Dr,8755
"229 SERVICE RD., WATFORD CITY",8712
534 4TH ST.,8688
2230 GREEN VALLEY ROAD/GREEN VALLEY ELEMENTARY SCHOOL,8672
300 N MORLEY AVE,8663
"2730 CANNONS LANE, BOWMAN FIELD",8653
Bank St at Meadow St (see coordinates),8645
GLADE DR. & NOLTE RD. KITTANNING,8639
225 GARDEN VIEW DRIVE,8603
MAIN & GREGORY,8549
"228 32ND STREET, OGDEN, UTAH",8512
"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",8500
32650 West Adams Avenue Tranquillity CA 93668,8492
"385 S. COFFEE AVENUE, MERCED, CA 95340",8484
"5558 California Ave., Bakersfield CA 93309",8484
250 WM. HOWARD TAFT,8429
28261 Avenue 14 Madera CA 93638,8427
"3301 PACIFIC AVENUE, PIRU, CA  93040",8422
2702 RC ESTERBROOKS BLVD,8413
2670 ELMS PLANTATION BLVD. [FAA Tower],8407
"8315 HIGHWAY 8, KENMARE",8398
14700 GODDARD (ALLEN PARK),8387
18-1235 VOLCANO ROAD,8370
"STATE ROAD 384, KILLENS POND RD",8365
"807 SOUTH IRWIN ST., HANFORD",8359
205 WILOUGHBY BLVD,8353
"5895 ENTERPRISE PARKWAY,",8338
906 S BROADWAY - SANTA MARIA,8295
"614 RAILROAD AVE N, KENT",8288
Big Powder River Road East,8256
RIVERSIDE SUBSTATION  911 SISKIN DR,8231
"96 STATE STREET, Rutland, Vermont",8228
"1965 State Hwy 161, Jean, NV",8209
4514 1/2 Durant St,8180
801 4TH AVE SW - WATERTOWN,8132
ROOSEVELT SCHOOL PARK AVE.,8105
"Rangely Colorado, Golf Course",8096
"Millington Wildlife Management Area, Massey - Maryland Line Road (Route 330)",8082
"Piney Run, Frostburg Reservoir, Finzel",8061
"2391 Willow Road, Arroyo Grande, California",8048
2ND AVE & 7TH ST,7990
"SR 566, 3 Miles N of Birney",7988
201 PROSPERITY SE,7965
685 WASHINGTON STREET,7929
"125 W. CENTER STREET, LOGAN, UT",7885
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",7882
390 PARKLAND,7878
720 North Central Avenue,7869
240 Spring Garden Street,7868
"1005 Northwest Drive, Port Allen",7856
"11645 Atwood Street, Auburn",7851
"58 HARVEY ROAD, Underhill, Vermont",7843
618 LOGAN ST.,7839
150 Pillsbury Rd,7837
"530 Fishback Road Manteca, CA",7808
650 SOUTH AVE.,7796
1575 HIGHWAY 31,7777
"WILLITS JUSTICE CENTER, 125 EAST COMMERCIAL STREET, WILLITS, CA 95490",7771
SUMMER ST,7763
"7201 WATSON LN, WATSON LN ELEMENTARY SCH",7753
136 PERRY DRIVE,7719
WEST HIGHWAY 19,7713
"12705 Pechanga Rd., Temecula, CA 92592",7708
"12160 Santiago Rd. Banning, CA 92220",7693
938 S.SALISBURY ST,7688
"2 YARMOUTH ROAD, RG&E Substation",7674
327 First St. S.,7649
3545 W. Newport Road,7618
" 923 POOLE STREET, MOJAVE, CA 93501",7603
"6000 W OLIVE AVE,GLENDALE",7598
24TH & RITNER STREETS,7590
175 BINGHAM ROAD,7560
6028 HOLLY SHELTER RD,7537
350 VIRGINIA AVE SEAFORD,7535
125 Birch Road,7526
567 Eagle Lake Road,7519
610 13th Street West (located in Athletic Field at this address),7516
E. 14TH & ORANGE,7513
14932 MANDARIN ROAD,7493
290 S. 1000 W.,7479
"DEVILS LAKE STATE PARK, E12886 TOWER RD",7470
"750 4TH ST, SPARKS, NV 89431",7462
1355 NORTH 200 WEST PROVO UT,7440
360 FISHBURNE STREET [Charleston Public Works],7414
"310 S BROOKS, MESA",7412
"2342 HULEMALU ROAD, KAUAI",7397
"601 E BUTLER DR & N 6TH ST,PHOENIX",7376
659 GLOBE ST,7353
"6120 212TH ST SW, MOUNTLAKE TERRACE, WA",7348
"TARZWELL ROAD, NARRAGANSETT",7322
11723 OLD GLENN HIGHWAY,7320
"3648 N. LONG BEACH BLVD., LONG BEACH",7319
"HEALTH CENTER, 1337 SO 16TH ST",7298
"1201 E. OJAI AVENUE, OJAI, CA  93023",7295
"KYTC DISTRICT OFFICE,  109 LORAINE STREET",7259
"773 ALMOND ST, YUBA CITY",7256
700 E. CANON PERDIDO,7248
ROCKVIEW LANE,7244
1242 JERSEY ST WYLAM AL,7226
35 Ford Road,7220
415 Pearl Street,7201
"312 W. 2050 NORTH, SPANISH FORK, UTAH",7189
"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",7179
19 VON HILLERN ST,7166
"401 N MARSHALL ST, CASA GRANDE",7143
2000 W. LAFAYETTE,7121
11590 GROOMS RD,7110
ANDERSON RD AFB,7110
SEYMOUR & VINE ST.,7105
14058 Mirabella Dr.,7077
1520 PATTERSON AVE.,6987
306 E Otoe,6985
ROCKLAND RECREATION AREA-OLD HICKORY DAM Army Corp of Engineer Property,6981
"356 State Street, Portland,  Maine",6961
3250 Spruce Ave,6957
"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",6944
2601 SOUTH CARSON ST (OLD NATIONAL GUARD ARMORY),6889
100 West Temple Pl,6851
2330 S. Castle Harbour,6842
2300 N M. L. KING JR DR,6822
4533 RAEFORD RD,6817
251 EDISON DR.,6813
University of Maryland for Environmental and Estuarine Studies,6806
"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",6787
"2350 BARNETT SHOALS RD., ATHENS, GA 30605",6785
SOUTH GULKANA STREET,6765
303 East Aztec Drive Lewistown MT 59457,6762
1409 WISCONSIN,6756
"3220 SOUTH HIGUERA STREET, SAN LUIS OBISPO",6734
"3401 W ORANGE GROVE RD, TUCSON",6730
"1525 S COLLEGE AVE, TEMPE",6706
"DEL PASO-2701 AVALON DR, SACRAMENTO",6684
2163 W. Erda Way,6673
"Hooper Avenue Elementary School, 1517 Hooper Avenue",6673
TWP RD 500 E.,6666
"CHIWAUKEE PRAIRIE, 11838 FIRST COURT",6648
"1865 D RUMRILL BLVD, San Pablo",6625
"2309 Short Oil Road, Malta, MT 59538",6624
3317 Ross Ave,6613
1310 CLEVELAND AVE,6597
Lewiston Country Kitchen Bakery Lot & CANAL ST,6591
"2211 NW 25  Lawton, Oklahoma  73502  (LPS: Prof. Dev. Center)",6581
298 ARROYO GRANDE,6574
"1210 N. 10TH ST.,JFK RECREATION CENTER",6573
1100 21st Street,6550
971 Yuma Street,6549
2323 S ARIZONA AVE,6543
1179 MONROE  (GRAND RAPIDS),6526
"150 SOUTH WINOOSKI AVENUE, Burlington, Vermont",6508
5895 Long Beach Blvd.,6494
"FOREST PARK: McKinely Dr., St. Louis, MO 63110",6466
1802 S 36th St,6453
230 AIRPORT RD S.,6451
9429 MERRILL ROAD,6450
 S. E. 19TH STREET,6429
101 Central Ave. W.,6410
500 SOUTH BROAD STREET-PARKING LOT (CHS),6394
16384 AIRPORT RD,6393
BALLARD RD,6387
13881 I94 EAST,6364
2757 UNIVERSITY AVE,6364
"White St at 8th Ave, parking garage roof",6362
2547 ST TIKHON,6316
26624 NORTH TOWER ROAD,6303
Fernberg Road,6300
750 DUNDEE ROAD,6299
"BLUE RIDGE, I-70: 4018 Harvard Lane, Kansas City, MO 64133",6275
980 CRESTWOOD BLVD NORTH,6272
1516 HOSPITAL RD.,6264
11775 Brooks School Rd.- Fishers,6257
"Padonia Elementary School, 9834 Greenside Drive",6195
4545 Navajo St.,6187
STATE HOSPITAL REAR 1600 HANOVER AVE,6186
1613 VERMONT AVENUE,6180
"AMERICAN LEGION PARK, 801 NORTH MILES STREET",6171
"820 LYELL WAY, GARDNERVILLE",6164
801 STADIUM DRIVE,6163
428 Main Street,6133
2200 Jefferson Drive,6096
Kokomo- 1802 E. Vaile Ave.,6087
"323 South BULL STREET [Bates House, USC]",6083
2175 ROBERTS RD Loudon TN 37774,6073
524A JOHN'S HILL ROAD,6066
"47674 SCHOOL ST., OAKRIDGE",6061
MOHAWK MOUNTAIN ROAD (see coordinates),6019
"HEALTH DEPT., 1900 EAST 9TH ST.",6010
"Horicon Wildlife Area, 1210 N Palmatory St",6006
Corner Cnty Roads 335 and 131,5975
502 EAST 144TH. PL.,5969
"Trenton Public Library, 120 Academy Street",5958
ALAMO LAKE STATE PARK,5949
5636 SOUTHERN BOULEVARD,5932
Laney College Eighth St. parking lot Aisle J,5931
1444 E 18th St,5920
650 W EASTERDAY AVE (SAULT STE MARIE),5911
"141 Smith Street, Groton",5856
FIRE STATION 325 NW 2ND ST,5851
3550 MORMON COULEE RD,5838
3475 Trestle Dr./ Columbus- Rocky Ford Rd.,5831
"103 Morris Street,",5824
Garfield County - Battlement Mesa,5815
"5300 South Pine Island Road, Davie, FL 33328",5805
"Georgia Forestry Commision, 5645 Riggins Mill Road, Dry Branch, Georgia, 31020",5800
RIVERSIDE STREET PRESQUE ISLE,5797
"520 Orchard Ave, Avalon, PA 15202 (Avalon)",5785
6000 ANDERSON AVENUE SE,5777
"1309 T ST., SACRAMENTO, CA. 95814",5765
202 O Ave,5735
6940 OXFORD GETTYSBURG RD.,5734
Spring Creek Encana,5728
350 N. FOUNTAIN AVE.,5727
"1403 Princeton St., Ft. Myers, FL 33901",5725
5130 POINSETTIA PLACE,5707
BALLASH ROAD,5707
RUMFORD AVENUE AREA PARKING LOT,5693
"380 N FAIRVIEW AVENUE, GOLETA",5683
"705 Church St., Anthony, NM",5669
360 Clinton Avenue,5658
"128 HWY 61 N, POTOSI TOWNSHIP",5612
105 Delaware Avenue (approximate),5600
"Bryan Park, 4308 Hermitage Road, Richmond, VA",5584
Interstate 95 South Welocme Center,5563
170 Clinton Street(Buckley),5558
966 W. 32ND (HOLLAND),5547
"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",5538
205 Bay Street,5521
"284-300 Broadmoor Rd., Lake Mary, FL 32773",5507
10th & Weller,5497
1501 E. LYCOMING AVE.,5480
"1015 SIKES BLVD., LAKELAND",5479
South Pass WyDot,5471
1007 Knox Ave,5465
23RD & CAMANCHE,5459
350 KIMBARK ST.,5448
Hayes/Park st,5442
"695 Fair Street, Gainesville, Georgia, 30501",5433
"E RIVERS SCH 8 PEACHTREE BATTLE AVE NW, ATLANTA, GA",5429
"147 N 870 W, Hurrricane, Utah",5423
"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",5414
SEILING MUNICIPAL AIRPORT,5408
"HC 1, BOX 95-B    NEAR RT 611 & BROOKDALE ROAD",5404
"2301 Entrada Del Sol , Las Cruces, NM",5403
Buckskin Mine North Site,5400
"4430 S. Lockwood Ridge Rd., Sarasota, FL 34231",5394
"4901 Grant Avenue and James Street Philadelphia, PA. 19114",5380
 2302 HOARD ST,5379
11500 N. Roxborough Park Rd.,5373
1650 Ludlow Ave.- Indianapolis- I 70,5369
555 TOWNER ST (YPSILANTI),5336
"6005 LEWIS AVENUE, ATASCADERO, CA 93422",5336
"ROUTE 9, DELAWARE CITY",5326
PETERSON ELEM/4856 CLINTON ST,5316
266-298 Spruce Street,5315
420 MARKET,5303
113 Saint Mary Street,5301
600 1/2 Congress St,5291
"Bungalow Road Elementary School, 2216 BUNGALOW RD, AUGUSTA GA 30906",5291
BTM-36-2 (BLACK THUNDER MINE),5264
1649 D STREET Kingsport TN  37664,5262
3205 SW 70TH AVENUE,5255
"FIRE TOWER RD, POTAWATOMI SITE",5255
5 EAST SOUTH ST. (HERNANDO),5253
"3425 N FIRST ST, FRESNO",5251
VETERANS FIELD,5246
43750 W. CAREFREE PLACE,5240
"300 Allied Industrial Bvld., Macon, Georgia 31206",5235
4625 MILDRED DRIVE,5197
2600B Webberville Rd,5194
Hospital Road at Co. Health Dept.,5188
"N.W. 5TH AND SHARTEL, OKLAHOMA CITY",5177
24760 Hospital Drive,5168
2180 LAKE BREEZE,5167
130 W. CACHE LA POUDRE,5146
3104 E AUGUSTA AVE,5144
ROOSEVELT ST.,5143
"43301 DIVISION ST., LANCASTER, CA",5139
"7179 Hacienda Way, Felton CA 95018",5133
47 Maple Street,5130
226 SUNSET STREET,5110
AMAZON PARK/499 E 29TH,5108
1445-1449 15TH STREET,5104
"WMRC/NCORE, 3000 E. LINE ST., BISHOP, CA. 93514",5091
618 North Saint Charles Street,5059
7210 1/2 Bayway Drive,5059
"800 S. 1st St., Warner Robins, GA 31088",5058
628 North 1700 West,5049
16750 Kenyon Ave,5036
10 Huntley Place,5025
"P.O. BOX 2224 WALLACE DEVELOPMENT CENTER. DECATUR, ALABAMA",5016
4293 Airport Rd,5007
"3714 Western Ave, Brookings, SD  57006",5003
"Vegetable Farm 3, 67 Ryders Lane",4994
10th Street West,4993
"UABC, CALZADA BENITO JUAREZ, MEXICALI",4993
"38754 STATE RD 80, BELLE GLADE",4987
1338 JACK ROAD,4944
"128 S 'H' ST, LOMPOC",4936
STATE FAIR GROUNDS,4932
1301B EAST TONOPAH,4924
"Gwinnett Tech, 5150 Sugarloaf Parkway, Lawrenceville, Georgia, 30043",4905
QUABBIN SUMMIT,4901
LIBERTY STREET,4897
150 WATERMAN (DETROIT-SW),4892
485 County Hwy D,4885
"5599 Traffic Way, Atascadero CA",4874
WHALEY PK 3610 IOWA (FLINT),4872
W10746 Cty Rd. M,4871
9511 W. HARRISON ST,4867
HARRIMAN HIGH  1002 N. ROAN ST Harriman TN  37748,4867
4850 WILSON AVE.,4866
201 N. RUBY,4854
110 4th Ave N,4841
405 BRUSHY CREEK ROAD [Taylors],4833
"225 SOUTH CONGRESS AVE DELRAY BEACH, FL",4821
NE of West Park Entrance Gate,4821
"5895 Pepsi Place, Jacksonville, FL 32216",4797
"600 E. VALLEY PKWY., ESCONDIDO",4792
HICKORY GROVE & FALLVIEW,4790
1600 NASHVILLE HWY Columbia TN,4788
"175-B GREENWAY STREET, DYERSBURG TN  38024",4772
"1185-A DUNN AVE., DAYTONA BEACH",4764
MARCUS HOOK ELEMENTARY SCHOOL,4763
"2320 N. JEFFERSON ST, HOBBS, NEW MEXICO",4760
TIOGA,4759
"HILLCREST HIGH SCHOOL: 3319 N Grant, Springfield, MO 65803",4753
2722 NE 84th Ave,4751
7600 FODOR RD.,4744
1202 EAST UNIVERSITY CIRCLE,4742
9610 SEVENTH STREET SW,4740
"Adjacent to Building 1196, Wythe Landing Loop, NASA-Langley Research Center",4724
613 N.E. JEFFERSON,4721
13899 W 159TH,4711
"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",4701
ELECTRICAL SUBSTATION NEAR PUMPHOUSE,4692
TMK 9-8-013:029,4680
36400 S. ESSEX RD.,4668
ROUND MOUNTAIN TOWER ROAD [Long Creek],4664
100 4th Ave N,4660
ELLYSON INDUSTRIAL PARK-COPTER ROAD,4659
"Lambs Lane, behind Albemarle High School Athletic Field",4656
716 PLEASANT VALLEY ROAD,4630
28 University Road,4629
Milerton Road and Winchell Cove Road,4626
PURDUE UNIV CALUMET-POWERS BUILDING 2200 169th St.,4622
FRANKLIN - WATER TREATMENT FACILITY AT EAST 4800 SOUTH,4620
3600 Benning Road N.E.,4609
4903 Acoma St.,4607
FRATERNITY CHURCH ROAD,4605
"SAINT MARK AME ZION CHURCH, 707 NORTH JACKSON ST. Athens TN 37303",4598
267 Northview Street [Gregg],4592
"Hoyt Ave & Hudson St, south of toll plaza",4590
"Doarville Health Center, 3760 Park Avenue, Doraville, Georgia 30340",4589
"Rahway Fire Department, 1300 Main Street",4581
"400 Sherwood Rd, Pittsburgh, PA 15221 (Parkway East Near-Road)",4560
PUMP STATION- 1 WASHINGTON ST.,4545
"MISSOURI STATE UNIVERSITY (MSU): Springfield, MO 65806",4543
"Georgia National Guard, 1901 McCollum Parkway, Kennesaw, Georgia, 30144",4526
600 Dorsey Avenue,4524
STATE ROUTE 14,4511
2007 SEQUOYAH AVENUE MARYVILLE  TN 37803,4498
"USFS AT 9TH AND CENTER, St. Maries, Idaho",4494
"425 W 2550 NORTH, OGDEN, UTAH",4487
2200 N. 22ND,4469
400 S. EAGLE ST.,4466
1064 BREEDLOVE STREET (Roof of Guthrie Clinic),4463
1400 OLMSTEAD RD (KALAMAZOO),4462
348 S. ERIE,4432
232 East Woodrow Wilson Drive,4417
917 DAKOTA ST.,4417
LUMS POND STATE PARK,4398
2300 North Glasscock,4388
2501 RANDOLPH AVENUE,4365
"803 N. LOREN AVE., AZUSA",4357
"200 LITTON DR.,  GRASS VALLEY, CA",4349
"9300 CR 234 Micanopy, FL",4326
"1001 WALLACE DRIVE, GADSDEN, AL 35902",4317
272 Hospital Dr,4313
MIDLAND & CAMPBELL STS,4293
CHARLESTON - 1436 DIXIE STREET,4273
1330 DUEBER,4269
"46-990 JACKSON ST., INDIO",4263
9225 BERRY,4259
2101 W. 8TH ST.,4232
4100 MONTGOMERY DRIVE,4223
S 18TH AND HAYES ST,4199
"Athletic Fields, off of 2083 Lawrenceville Road",4197
27 Store Rd.,4186
32 RODMAN AVE.,4183
"1834 Walnut Street, Red Bluff, CA 96080",4169
3428 COLERAIN AVE.,4164
1198 California Parkway North,4162
"TROUT LAKE NURSERY, 10810 COUNTY HWY M",4156
"RT 4148 Main St, Monroe, PA 18832",4142
"SCHOOL IS 45, 2351 1ST AVENUE",4140
595 N PRIMROSE AVE ORLANDO FLA,4130
"1919 W Fairmont Dr., Tempe, AZ",4122
"1514 E. Thompkins Ln , Clarksville TN  37043",4121
"510 6th Place South, Phenix City, Alabama  36869",4119
"MOUNDSVILLE - NG ARMORY, 1501 NINTH STREET",4116
"7074 CHERRY GROVE RD, REIDSVILLE",4102
JEFFERSONVILLE PFAU- 719 WALNUT ST,4098
"Raritan Township Municipal Utilities Authority, 365 Old York Road",4096
"984 East Avenue, Chico",4094
630 EAST 20TH STREET Cookeville TN   38501,4094
4.8 KM SE OF HOLBROOK,4080
3910 MORRISON AVE.,4080
SOUTH CHARLESTON - PUBLIC LIBRARY 312 4TH AVE,4060
"5509 Highway 53 South, Eau Claire",4056
Yellowstone National Park - Old Faithful Snow Lodge,4049
BAD RIVER TRIBAL SCHOOL - ODANAH,4023
DOYLE SPRINGS ROAD,4020
"799 North I-95, Ft. Lauderdale, FL 33311",4016
WEIRTON - MARLAND HEIGHTS ELEMENTARY,4007
6831 Backlick Road,3991
"1319, 9th Avenue, Phenix City, AL 36837",3980
400 Baltic St,3961
3140 N ST LINCOLN,3957
"707 E 119TH ST SOUTH,PECK COMMUNITY BLDG",3956
12552 Second St,3955
"Memorial Dr, Healdton City Lake",3943
902 GRANT AVENUE,3936
31307 473rd Ave,3935
642 W. EXCHANGE ST.,3934
837 5TH ST.,3929
"CEDAR BLUFF RESERVOIR,PRONGHORN & MULEY",3911
2412 YEW ST,3898
Behind 4401 S. Main Road,3893
400 DAVIDSON RD,3880
1769 S JEFFS RD (HOUGHTON LAKE),3864
"108 CHERRY STREET, BURLINGTON",3853
INTERSECTION OF TX HWYS 62 AND 12,3833
