poc,count
1,5155312
5,1885576
2,903818
6,829491
3,327899
7,267454
4,228924
10,99974
8,41705
11,34542
20,27103
16,26187
9,22958
15,12404
12,6261
18,2436
30,1570
99,1530
81,1296
61,1196
98,1040
21,852
13,593
33,256
32,224
31,212
62,106
82,97
40,91
63,64
34,54
22,54
83,46
64,36
17,28
84,25
23,7
