observation_percent,count
100.0,7046739
96.0,1218079
92.0,286039
88.0,99456
75.0,71282
83.0,43493
79.0,37894
71.0,35676
67.0,24555
63.0,19003
58.0,15854
54.0,13901
50.0,13254
46.0,11825
42.0,11227
38.0,10371
33.0,8537
29.0,6997
8.0,6255
25.0,5994
21.0,5209
17.0,4527
13.0,3788
4.0,2517
