date_of_last_change,count
2016-02-09,2605
2019-01-03,2602
2018-03-29,2582
2022-05-09,2531
2016-04-20,2490
2021-04-20,2475
2018-08-07,2442
2016-01-07,2439
2022-04-05,2398
2023-05-05,2386
2016-01-11,2185
2018-02-21,2171
2020-02-07,2167
2020-04-30,2161
2016-03-10,2159
2022-04-07,2155
2019-03-06,2154
2017-01-25,2154
2022-02-14,2142
2017-02-07,2140
2015-03-26,2136
2014-06-03,2135
2014-02-10,2131
2015-03-17,2128
2015-03-20,2124
2021-06-15,2124
2016-06-20,2117
2019-03-22,2107
2019-04-16,2103
2014-02-17,2092
2014-06-16,2088
2013-06-28,2083
2016-06-16,2082
2022-05-10,2073
2019-02-06,2063
2021-03-18,2054
2015-02-10,2053
2014-02-14,2049
2015-01-27,2038
2021-03-03,1997
2013-03-26,1993
2016-03-22,1991
2014-01-16,1987
2020-03-04,1985
2016-02-12,1966
2015-03-10,1963
2016-02-04,1948
2014-04-01,1938
2015-10-21,1937
2017-10-19,1894
2014-02-05,1886
2020-04-29,1883
2013-04-29,1878
2021-03-21,1875
2019-02-25,1874
2019-07-08,1838
2022-01-25,1836
2016-03-23,1831
2019-07-29,1821
2017-02-16,1799
2020-11-24,1786
2015-12-10,1786
2014-04-04,1774
2017-03-24,1756
2014-01-08,1732
2018-04-30,1732
2014-12-29,1693
2016-01-27,1657
2014-01-22,1641
2017-02-23,1637
2019-08-29,1632
2017-03-22,1625
2015-11-19,1613
2019-03-01,1610
2022-05-25,1597
2022-05-24,1595
2015-03-27,1569
2013-11-18,1566
2013-03-28,1559
2020-05-26,1520
2016-06-13,1516
2017-02-24,1480
2021-04-01,1471
2017-05-24,1462
2014-02-20,1462
2018-03-07,1462
2015-04-02,1462
2015-05-27,1461
2018-10-24,1461
2019-08-08,1460
2016-10-12,1458
2022-03-15,1457
2013-06-12,1455
2016-03-14,1455
2021-02-03,1452
2016-02-05,1450
2018-12-03,1450
2019-03-18,1450
2016-04-29,1449
2018-04-23,1445
2021-04-13,1445
2014-05-09,1442
2015-07-09,1439
2021-02-24,1436
2018-02-13,1435
2018-04-29,1435
2020-04-17,1433
2021-03-11,1430
2021-03-01,1427
2019-03-27,1426
2015-03-11,1425
2019-04-30,1425
2022-02-16,1424
2020-06-19,1421
2017-02-09,1420
2018-04-05,1415
2015-04-24,1414
2014-04-28,1411
2015-06-04,1407
2015-01-09,1407
2014-02-24,1407
2022-03-24,1407
2020-08-20,1406
2023-05-02,1406
2015-02-27,1402
2015-01-15,1402
2022-02-24,1399
2017-02-10,1399
2016-01-25,1397
2016-02-06,1395
2019-03-08,1395
2018-03-09,1392
2021-02-22,1390
2019-02-13,1382
2016-04-18,1379
2014-01-24,1378
2013-06-30,1372
2015-10-29,1369
2017-03-08,1366
2015-05-29,1364
2022-02-23,1358
2017-02-15,1354
2013-04-08,1343
2016-06-10,1341
2014-01-10,1341
2019-02-28,1330
2015-02-12,1327
2014-06-27,1326
2020-07-02,1324
2015-01-26,1318
2014-05-23,1314
2013-04-02,1311
2013-05-13,1305
2014-04-15,1298
2022-01-11,1293
2017-07-13,1289
2017-02-02,1288
2021-10-12,1282
2015-06-30,1274
2014-03-07,1269
2020-01-31,1263
2017-04-26,1259
2016-02-10,1259
2022-04-13,1257
2018-03-06,1255
2017-02-22,1248
2016-05-19,1237
2023-04-24,1228
2017-02-28,1217
2020-01-28,1215
2021-03-25,1213
2022-03-25,1213
2018-01-12,1209
2017-01-13,1191
2014-04-23,1189
2015-05-07,1187
2019-01-29,1184
2014-02-12,1183
2018-11-21,1177
2019-12-19,1173
2015-04-17,1166
2023-04-17,1158
2021-02-26,1138
2018-07-31,1129
2016-04-26,1118
2014-05-14,1080
2022-05-05,1080
2015-11-23,1058
2023-04-25,1056
2013-11-21,1047
2021-12-30,1041
2022-01-12,1036
2022-05-23,1031
2018-11-30,1028
2017-02-03,1022
2022-05-03,1021
2019-03-31,1002
2020-01-24,990
2016-03-02,984
2016-07-01,978
2018-11-19,977
2015-09-01,970
2022-05-12,961
2015-05-22,950
2014-06-25,945
2022-06-01,930
2019-09-05,928
2014-07-03,901
2022-05-06,893
2018-04-13,892
2018-03-19,869
2017-01-09,869
2014-05-01,869
2017-02-08,856
2015-03-03,846
2013-12-23,842
2020-04-06,827
2017-10-13,814
2021-08-27,798
2016-09-14,792
2014-04-21,777
2019-03-19,775
2020-02-26,771
2020-06-26,761
2018-02-14,756
2015-06-22,756
2018-04-25,750
2015-09-25,741
2018-05-24,732
2021-03-12,732
2015-04-13,730
2018-07-06,730
2018-10-15,730
2019-08-15,730
2015-04-21,730
2015-01-08,730
2019-09-16,730
2018-01-19,730
2020-03-22,729
2021-06-11,729
2015-05-06,728
2017-03-01,728
2020-02-14,728
2016-01-21,728
2016-03-17,728
2017-10-10,727
2016-03-25,727
2017-08-03,726
2018-01-22,726
2017-04-07,725
2014-04-02,724
2015-02-03,724
2022-03-01,724
2016-01-20,722
2021-05-18,722
2019-04-24,722
2021-06-17,722
2014-07-16,722
2020-03-05,722
2020-02-03,722
2021-04-27,721
2019-02-01,721
2016-04-05,721
2021-03-24,720
2020-02-24,720
2016-04-14,719
2020-02-20,718
2016-04-07,718
2020-08-14,718
2019-04-03,718
2014-04-22,716
2014-01-07,715
2017-01-12,715
2013-05-01,715
2014-11-21,715
2023-05-04,714
2017-06-05,714
2022-02-28,714
2018-02-26,714
2014-03-04,714
2014-04-03,712
2014-03-14,712
2020-11-17,712
2017-10-17,711
2020-02-05,710
2016-02-23,710
2017-06-06,709
2022-01-18,708
2019-04-25,706
2016-03-24,706
2018-09-07,705
2016-04-08,704
2015-06-11,704
2014-08-06,704
2015-06-02,703
2017-04-03,703
2013-03-29,702
2015-09-23,701
2022-05-11,701
2018-04-02,698
2022-04-18,697
2016-04-25,695
2014-09-02,694
2021-02-23,694
2019-04-09,693
2016-02-19,693
2016-03-03,692
2018-01-16,691
2020-07-01,690
2019-02-21,689
2014-03-03,689
2015-07-20,689
2014-07-23,688
2014-05-29,687
2019-04-08,686
2018-02-16,684
2018-04-18,684
2017-03-20,683
2022-03-08,682
2013-05-14,682
2013-05-12,681
2018-03-20,681
2018-08-22,680
2017-10-05,678
2015-01-07,678
2018-03-16,676
2017-08-04,671
2014-02-18,668
2015-01-02,668
2014-07-21,668
2020-03-03,667
2018-02-18,667
2021-04-16,666
2014-03-20,666
2014-04-24,662
2018-05-01,662
2016-02-16,653
2018-01-09,652
2020-04-21,652
2019-04-17,649
2016-02-26,648
2018-02-12,646
2013-08-30,644
2019-10-08,642
2020-08-13,640
2014-04-09,637
2016-12-05,637
2014-05-08,636
2015-02-05,628
2016-06-01,628
2017-04-24,618
2016-11-29,611
2015-02-02,611
2020-04-15,608
2020-08-03,606
2021-12-03,599
2013-04-11,597
2020-07-24,597
2020-09-01,595
2022-01-27,594
2014-07-17,592
2017-01-10,591
2017-01-17,588
2016-05-03,585
2016-02-11,582
2015-01-05,581
2018-04-27,577
2018-10-19,576
2015-04-10,576
2022-05-18,574
2016-12-07,572
2015-06-23,564
2021-12-17,561
2017-01-18,553
2016-05-02,552
2015-04-08,550
2017-11-29,548
2017-05-02,548
2019-11-06,546
2015-04-23,546
2014-12-22,546
2021-04-29,543
2022-05-02,540
2014-02-11,540
2018-09-28,539
2016-04-01,537
2017-12-05,526
2016-11-23,525
2021-01-20,525
2016-06-02,525
2018-09-19,523
2016-10-26,521
2018-01-29,514
2017-06-19,510
