observation_count,count
24,7040184
23,82113
22,34513
21,16055
20,9654
19,6636
18,5584
14,5453
15,5442
16,5402
13,5336
17,5333
12,4764
11,4273
10,3905
9,3456
8,2689
7,1910
6,1312
1,1248
3,1000
4,990
5,989
2,864
