cbsa_name,count
"Mount Vernon-Anacortes, WA",9149
"Huntington-Ashland, WV-KY-OH",8974
"Greeley, CO",8900
"Salem, OR",8847
"Tallahassee, FL",8710
"Little Rock-North Little Rock-Conway, AR",8654
"Corning, NY",8646
"Hagerstown-Martinsburg, MD-WV",8558
"Ionia, MI",8438
"Muskogee, OK",8272
"Truckee-Grass Valley, CA",8253
"Lawton, OK",8248
"Iowa City, IA",8244
"Twin Falls, ID",8189
"Sioux City, IA-NE-SD",8156
"Prineville, OR",8004
"Albuquerque, NM",7969
"Urban Honolulu, HI",7906
"Dayton, OH",7806
"Seymour, IN",7806
"Madison, WI",7724
"Jackson, MS",7472
"Greensboro-High Point, NC",7358
"Wenatchee, WA",7328
"Champaign-Urbana, IL",7304
"Mount Vernon, IL",7224
"Sandpoint, ID",7192
"Cambridge, MD",7106
"Laconia, NH",7082
"Cleveland-Elyria, OH",7033
"Branson, MO",6930
"Wichita Falls, TX",6790
"Bloomington, IN",6716
"Claremont-Lebanon, NH-VT",6702
"Beaver Dam, WI",6605
"Malone, NY",6603
"Keene, NH",6538
"Lexington-Fayette, KY",6501
"Middlesborough, KY",6444
"Kennewick-Richland, WA",6419
"Terre Haute, IN",6073
"Sheboygan, WI",6070
"Owensboro, KY",6049
"Monroe, MI",5832
"Saginaw, MI",5829
"Moscow, ID",5689
"Baraboo, WI",5664
"Torrington, CT",5616
"Paducah, KY-IL",5596
"Brunswick, GA",5594
"Columbus, GA-AL",5564
"Eau Claire, WI",5514
"Dalton, GA",5472
"Macon, GA",5465
"Ames, IA",5400
"College Station-Bryan, TX",5358
"Effingham, IL",5354
"Burlington, NC",5332
"Marion, NC",5330
"Dover, DE",5320
"Washington, NC",5178
"Bozeman, MT",5055
"Williston, ND",5000
"Goldsboro, NC",4990
"Fayetteville, NC",4933
"Clarksville, TN-KY",4814
"Kinston, NC",4752
"Sault Ste. Marie, MI",4691
"Memphis, TN-MS-AR",4554
"Mason City, IA",4503
"Bellingham, WA",4379
"Texarkana, TX-AR",4264
"Crescent City, CA",4188
"Michigan City-La Porte, IN",4099
"Albany, OR",4057
"Charleston, WV",4048
"Glens Falls, NY",3954
"Farmington, NM",3844
"Borger, TX",3842
"Craig, CO",3796
"Enid, OK",3758
"Mount Pleasant, TX",3732
"Minot, ND",3724
"Big Spring, TX",3714
"Appleton, WI",3712
"Salinas, CA",3580
"Richmond, IN",3548
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3545
"Jefferson City, MO",3430
"Durham-Chapel Hill, NC",3430
"Auburn, IN",3374
"Richmond, VA",3318
"Sanford, NC",3312
"Columbus, OH",3274
"Moses Lake, WA",3230
"Manitowoc, WI",3102
"Kahului-Wailuku-Lahaina, HI",2882
"Provo-Orem, UT",2817
"Alma, MI",2796
"Santa Cruz-Watsonville, CA",2732
"Coos Bay, OR",2696
"Washington, IN",2554
"Asheville, NC",2542
"Aberdeen, WA",2444
"Houghton, MI",2408
"Gardnerville Ranchos, NV",2384
"Walla Walla, WA",2322
"Wheeling, WV-OH",2316
"Whitewater-Elkhorn, WI",2306
"Rome, GA",2184
"Mobile, AL",2165
"Pontiac, IL",2154
"Spartanburg, SC",2126
"Staunton-Waynesboro, VA",2120
"Carlsbad-Artesia, NM",2088
"Platteville, WI",1998
"Alpena, MI",1962
"Montrose, CO",1962
"La Crosse-Onalaska, WI-MN",1674
"Ca?on City, CO",1624
"San Juan-Carolina-Caguas, PR",1616
"Weirton-Steubenville, WV-OH",1600
"Midland, MI",1570
"Wausau, WI",1560
"Ca¤on City, CO",1386
"Marietta, OH",1308
"Toledo, OH",1270
"Scranton--Wilkes-Barre--Hazleton, PA",1214
"Laramie, WY",1168
"Akron, OH",1160
"Lincoln, IL",1142
"Bemidji, MN",1132
"Youngstown-Warren-Boardman, OH-PA",1108
"Greenwood, SC",1022
"Danville, VA",910
"New Orleans-Metairie, LA",846
"Crawfordsville, IN",768
"Sheridan, WY",766
"Greeneville, TN",726
"Del Rio, TX",668
"Seneca, SC",634
"Warsaw, IN",554
"Winona, MN",546
"Parkersburg-Vienna, WV",446
"Reading, PA",420
"Lufkin, TX",412
"Coffeyville, KS",408
"Newport, OR",390
"Lynchburg, VA",370
"York-Hanover, PA",350
"Wilmington, NC",348
"Shreveport-Bossier City, LA",300
"Roseburg, OR",288
"Longview, WA",260
"Pensacola-Ferry Pass-Brent, FL",240
"Montgomery, AL",236
"Olean, NY",232
"Salem, OH",206
"Brainerd, MN",170
"Pueblo, CO",60
