address,count
RUMFORD MILL ROUTE 2,16431
"600 E. VALLEY PKWY., ESCONDIDO",16357
650 R E Thomason Loop,16354
"6005 LEWIS AVENUE, ATASCADERO, CA 93422",16140
966 W. 32ND (HOLLAND),16062
57700 GRATIOT (NEW HAVEN),16056
6981 28TH AVE (JENISON),16054
1179 MONROE  (GRAND RAPIDS),16013
2600B Webberville Rd,16004
6792 RAISEN CTR HWY (TECUMSEH),15990
1400 OLMSTEAD RD (KALAMAZOO),15938
"84 E. 'J' ST., CHULA VISTA",15928
4689 DEFIELD RD (COLOMA),15914
"NIPOMO REGIONAL PARK, NIPOMO, CA.",15874
"SULLIVAN ST., WATER TREATMENT PLANT",15844
1172 S M25 SAND BEACH TWP (HARBOR BEACH),15842
700 Zaragosa St,15826
10300 14 MILE RD NE #B (EVANS),15824
567 Eagle Lake Road,15816
14290 Morris Dido Newark Rd,15802
1769 S JEFFS RD (HOUGHTON LAKE),15801
13701 OAK PARK BLVD (OAK PARK),15777
2525 DOVE RD (PORT HURON),15767
12552 Second St,15760
14790 County Road 1145,15752
"LAKEVILLE MS, G11107 WASHBURN RD (OTISVILLE)",15736
525 W US10 (SCOTTVILLE),15734
200 N Gordon Street,15724
320 Old Hueco Tanks Road,15710
5050A Yvette Drive,15708
1340 GREEN CREEK RD (MUSKEGON),15708
" 12490 BRUCEVILLE RD, ELK GROVE, CA",15697
1650 Airport Drive,15694
"3301 PACIFIC AVENUE, PIRU, CA  93040",15677
1441 ROSSANLY DRIVE,15628
555 TOWNER ST (YPSILANTI),15597
3824 North Hills Drive,15582
3033 New Authon Rd,15578
4405 AIRPORT RD-PARADISE CA,15563
100 E Heath St,15552
13881 I94 EAST,15471
3790 S Houston St,15468
"1100 PASEO INTERNATIONAL, OTAY MESA, CA",15447
"3905 S. OLD SPANISH TRAIL, SAGUARO PARK EAST",15443
531 E. LINCOLN,15400
4100 Fairway Dr,15366
3656 PIEDMONT MEMORIAL DRIVE,15341
"1155 REDWOOD AVE., EL CAJON",15338
WHALEY PK 3610 IOWA (FLINT),15310
"SAUVIE ISLAND-SSB/ROUTE 1, BOX 442",15309
"EL DORADO SPRINGS: Highway 97 & Barnes Road, El Dorado Springs, 64744",15302
906 S BROADWAY - SANTA MARIA,15302
"AUDUBON GOLF COURSE, 450 MAPLE ROAD",15281
65180 Belleview Road,15251
"11245 Port Hudson-Pride Rd. Zachary, La",15092
4522 Park Rd,14878
1130 EASTWAY DRIVE,14874
Hwy 134 & Spur 449,14816
4503 Croix Pkwy,14764
4743 MANNHEIM RD.,14748
9472A Hwy 1484,14728
