city_name,count
Santa Maria,9089
Lawrence,9028
Guayama,8996
Corsicana,8995
Rosarito,8814
Mulberry,8766
Kekoskee,8708
Lewisport,8706
Claremont,8706
Northumberland,8643
Bath,8536
Port Wentworth,8511
Albuquerque,8507
Des Moines,8471
Williamsport,8468
East Highland Park,8260
New Paris,8232
River Rouge,8188
Knowlton (Township of),8170
Greensburg,8164
Seven Corners,8146
East Providence,8121
St. Ann,8112
Reno,8080
Greenwich (Town of),8062
Mason City,8056
Mountain View,8052
Haverhill,8049
Sunrise Manor,8030
Dearborn,7972
Moline,7967
Lisle,7950
Rapid City,7843
Peterborough (Peterboro),7811
Clairton,7703
Champaign,7678
Londonderry,7665
Montana City,7619
Millbrook,7611
Jamestown,7557
Shenandoah,7538
Italy,7456
Fairbanks,7452
Brookhurst,7417
Las Vegas,7386
Farmington,7384
East Farmingdale,7370
Stoneham (Town of),7366
Ferndale,7360
Brokaw,7350
West Alton,7340
Leilani Estates,7261
Chelsea,7253
Beech Bottom,7234
Bethel,7219
Lansing,7196
Marcus Hook,7177
Concepcion,7169
Catlettsburg,7154
Underhill (Town of),7134
Benicia,7110
Tiburones,7104
Austin,6986
Mandan,6884
Lackawanna,6883
Oak Ridge,6858
Mobile,6846
Lakeland,6817
Everett,6764
Palmetto,6726
Bondville,6682
Sugarcreek,6657
Bellingham,6630
Durham,6555
Groton,6513
Beulah,6506
Baden,6480
Enfield (Thompsonville),6448
Park Hill,6398
Shiprock,6384
Easton,6382
Nitro,6293
Keokuk,6194
Lewes,6124
Jamesville,6102
Plant City,6077
Hybla Valley,6054
Green Park,5980
Hope Mills,5974
Arroyo Grande,5942
Lockland,5939
Groveton,5935
Cumberland,5891
Livonia,5842
East Haven (Town of),5832
Hartford,5798
Waltham,5740
Pawtucket,5728
Mansfield Center (Town name Mansfield),5700
Mexico (census name for Mexico Center),5670
Hesperia,5624
South Point,5591
Cliffside Park,5558
Sunset Hills,5458
Swansea (Swansea Village),5441
Bakersfield,5419
Oildale,5222
Dubuque,5218
Quinnesec,5202
Montoursville,5130
Marblehead (Town of),5109
Cuyahoga Heights,5107
Lawton,5101
Hadley,5060
Annandale,5034
Wichita,5022
Westernport,4974
Wynnewood,4925
Fort Worth,4923
Brownsville,4881
Glens Falls,4850
Bethlehem,4823
Davie,4691
Gardiner,4686
Bryson City (RR name Bryson),4625
Millinocket (Town of),4476
Fort Thomas,4458
Sharon,4426
Lynwood,4376
La Habra,4364
Point of Rocks,4355
Apollo Beach,4350
Chickasaw,4332
Morro Bay,4328
Granite City,4325
Bridgeton,4198
Milledgeville,4189
Jalama,4118
Trona,4118
West Springfield,4043
Saint Marks,4042
Norco,4006
Seaford,3999
Maryland Heights,3979
Enid,3946
Great Falls,3937
Ames,3934
Borger,3888
Hendersonville,3854
Aurora,3845
Franklin,3840
Lizton,3834
Calera,3813
Theodore,3791
Orange,3775
Kalamazoo,3771
Hallsville,3763
Richland,3738
Kaukauna,3712
West Canton,3690
Pearl City,3633
South Hadley,3605
Holyoke,3599
Big Spring,3556
Leggett,3527
Southport,3416
Athens,3389
Twentynine Palms,3379
San Luis Obispo,3368
Commerce City,3342
Covington,3300
Salinas,3233
Tatum,3109
Midvale,3074
International Falls,3032
Lake Charles,2924
Dunn Center,2922
Los Alamitos,2920
Rome,2920
Whittier,2914
Lincoln (census name for Lincoln Compact),2914
Whiting,2914
Wellesley (Town of),2902
Addis,2896
Alma,2872
Waterville,2866
Gramercy,2854
Simi Valley,2828
Glenrock,2826
Circleville,2765
Breckenridge Hills,2710
Thomaston,2666
Sanford,2638
Hope,2610
Pryor (corporate name Pryor Creek),2610
Rockdale,2531
Sitka,2528
Troutville,2510
Silver Bay,2495
Fairview,2483
Logan,2466
Fort Gibson,2460
Royal Pines,2433
Lenoir,2430
Cupertino,2428
Riverton,2426
Kenansville,2390
Spring Grove,2366
Kurtistown,2357
Keyser,2340
Hoquiam,2340
Lincolnton,2329
Hazard,2320
Barceloneta,2259
Berkeley,2240
Lynn,2228
Montgomery,2222
Escondido,2190
Searchlight,2190
Lansing (South Lansing),2178
Oceanside,2168
Taylors,2148
St. Paul,2146
Dundalk,2141
Byesville,2135
Wisconsin Rapids,2077
Fayetteville,2068
Palomas,2066
East Chicago,2061
Guadalupe,2060
Superior,1994
Fargo,1948
Central City,1907
Moulton,1861
Biddeford (RR name Biddeford-Saco),1810
Sheboygan,1693
Jobos,1650
Pikeville,1640
Nashville-Davidson (Remainder),1634
Kenosha,1629
Fairfax,1610
Goodland,1606
Charlestown,1571
South Bend,1556
Livermore Falls,1538
Ogden Dunes (Wickliffe),1534
Dodge City,1515
Rothschild,1515
Hopewell,1458
Jenison,1454
Cooleemee,1434
Grand Forks,1422
Lafayette,1419
Loudon,1403
Virginia,1400
Wenden,1390
Poughkeepsie,1283
Boulder City,1276
West Lafayette,1272
East Millinocket (Town of),1208
South Eliot,1204
Trenton,1197
Laramie,1165
Sioux City,1158
Channel Islands National Park,1128
Larned,1110
James Town,1098
Wellsburg,1055
Fostoria,1044
Mount Vernon,1032
San Juan,1018
Syracuse,1016
Houlton (census name for Houlton Center),980
Crows Landing,970
Watertown (Town of),966
West Los Angeles,931
Bow (Bow Mills),908
Bar Harbor (census name for Bar Harbor Center),904
Beverly,885
Newport News,840
Casper,813
Cody,797
Westley,790
Yuma,782
Camas,778
Hermiston,744
Knoxville,736
Virginia Beach,731
Green River,731
Duluth,730
Manitowoc,730
Muscle Shoals,730
Tupelo,730
Castle Hayne,728
Bucksport (census name for Bucksport Compact),726
Signal Hill,726
Clarksville,722
Nekoosa,718
Cheyenne,717
Sheridan,717
Tuscaloosa,714
Otisville,710
Des Plaines,708
Torrington,694
Gallatin,686
Council Bluffs,649
New Britain,648
Ukiah,645
Willits,606
Milford,584
Rockwell,496
China Grove,496
Barstow,446
Huntsville,388
Pasadena,362
Anaheim,362
Pico Rivera,362
San Bernardino,362
Reseda,362
Fort Wayne,354
Brackenridge,328
Upland,320
Diamondville,306
Powderville,294
Roosevelt,282
Kenner,272
Azusa,246
Fort Madison,240
Rock Hill,236
Bay City,156
Santa Clarita,124
Freeport,62
Little Rock,40
Greensboro,32
