address,count
CROTON ST & JEFFERSON ST.,20090
NEW MANCHESTER - NEW MANCHESTER ELEM SCHOOL,20037
"1250 PUNCHBOWL ST, HONOLULU",20029
STP/BATISTE & CHUBBUCK RD,19986
7330 1/2 North Wayside,19970
 0.6 MI N OF FT HARRISON RD- PSI/ Duke Energy- Wabash River Network/ Haythorne,19882
NYSDEC FIELD HQTRS Mt Ninham,19876
250 Rim Rd,19761
2525 DOVE RD (PORT HURON),19760
115 BOSTON TERRACE,19652
"SOUTH CHARLESTON: 5012 S. Charleston,  Springfield, MO 65804",19642
LAWRENCEVILLE - COMMUNITY PARK AND TYRONE ROAD,19632
9610 SEVENTH STREET SW,19557
1015 SEBRING ROAD,19539
FRONT ST & NORRIS ST,19530
MISSOURI AVENUE,19524
"278 Bisby Road, NICKS LAKE CAMPGROUND",19462
"Southeast CR 137, White Springs, FL 32096",19454
AMERADA HESS #1,19433
DGC #12,19298
"UNION MEMORIAL HOSPITAL, ELDORADO",19289
"2850 MESA VERDE DR EAST, COSTA MESA",19264
"2500 E. PRESIDENT STREET, Bd-A, SAVANNAH, GA, 31404",19232
"CHESTER - ALLISON ELEMENTARY SCHOOL, 647 RAILROAD STREET",19222
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",19201
"3500 PORT PLACE  MUSKOGEE, OK 74403",19174
HUNTINGTON - MARSHALL UNIVERSITY,19171
"6241 FORT CAROLINE ROAD, JACKSONVILLE",19142
KORBEL AVE.,19008
2725 Old Fort Worth Road,18977
SCHOOL KITCHEN 1321 SOUTH 9TH STREET/ RPL- Richmond/ Kitchen Site,18947
2443 SOUTH JACKSON AVENUE,18897
ROUND MOUNTAIN TOWER ROAD [Long Creek],18874
10TH AND MARNE STREETS,18856
"5041 ALABAMA HWY., ROME, GA 30165",18838
HICKORY GROVE & FALLVIEW,18798
"CENTER STREET, WHEATFIELD/ NIPSCO- Wheatfield",18764
3300 MECHANICSBURG RD.,18734
CUMBERLAND HEIGHTS ELEMENTARY SCHOOL,18702
EASTMAN ROSS N.ROBINSON,18698
DGC #17,18667
0.2 MILE N OF BALD KNOB RD AT WLKY TOWER- PSI/Duke Energy- Gallagher Network / Bald Knob,18659
"BLAQTC - LAUREL, 1/2 MI E OF CENEX",18552
PIKE AVE AT RIVER ROAD,18551
"N. OF SR 234, E. OF WABASH RIVER/ PSI/Duke Energy- Cayuga Network / Silver Island",18499
2401 19th Avenue Northwest,18417
"9849 South Highway 41, Tampa, FL 33534",18358
STATE ARMORY - 1046 BELVOIR RD,18311
ROCKVIEW LANE,18287
3040 YORK ST.,18250
WEIRTON - OAK ST AND OWINGS ST (BETWEEN DEAD ENDS),18145
MCKIMS RIDGE ROAD - CROSS CREEK DISTRICT - P O BOX 3280,18065
4600 HARVARD AVE.,18025
490 W. Michigan Blvd. Michigan City- W. Michigan Blvd.,18023
"2200 N 1st Street, Bloomfield, NM",17972
"JAIL-CANYON DR, HAYDEN",17952
ROUTE 34 LITTLE BUFFALO STATE PARK,17883
"420 34th Street N.E.,Washington, DC 20019",17836
"201 MISSISSIPPI ST., IITRI BUNKER",17815
6950 RIPPLE RD.,17786
"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",17785
LINCOLN PARK ELEMENTARY SCH. (NW CORNER),17776
1820 S. 51ST AVE.,17773
11 FINAL STREET LAS VEGAS CATANO,17659
1501 E. LYCOMING AVE.,17656
OVERLOOK SITE - NEAR STONE HILL ROAD,17595
"ROCKEFELLER LIBRARY, PROSPECT STREET.",17315
"228 W. PALM AVE., BURBANK",17238
"Corner of Athol and Telescope, Trona",17191
6024 HIGHWAY 200,17040
4266 40TH AVE NORTH,17037
1587 EAST ARDA LANE/ IPL-Ratts Station/ Arda Lane,16967
3810 Huisache Street,16925
40671 US 19 NORTH,16861
EAST 40 ST.,16855
"2935 SOUTH 8560 WEST MAGNA,UTAH",16823
1795 N WARM SPRINGS RD (1025 W) SLC UTAH,16777
"3648 N. LONG BEACH BLVD., LONG BEACH",16767
AES/IPL- Eagle Valley/ CENTERTON GRADE SCHOOL- 6075 High St.,16666
13881 I94 EAST,16661
HIGHWAY 421 NORTH,16623
"SULLIVAN ST., WATER TREATMENT PLANT",16615
"STP,  Wright Park Drive,  DUNKIRK",16526
"ESTATE ANGUILLA, THE RUINS",16500
Gregg Co Airport near Longview,16499
WEST GATE MARTIN MARIETTA ALUMINA,16397
1130 EASTWAY DRIVE,16348
"517 N SAINT ASAPH ST, ALEXANDRIA HEALTH",16304
ROTH ROAD,16212
"1210 N. 10TH ST.,JFK RECREATION CENTER",16116
"8150 Hardscrabble Road,  WESTFIELD",16104
BEARPAW - MGP #3,16027
"JACKSON PURCHASE RECC, 2901 POWELL STREET",15971
96-3150 PIKAKE ST,15963
1616 WHITMORE,15945
"NO CHEYENNE, MORNINGSTAR, COLSTRIP",15920
Queens College   65-30 Kissena Blvd  Parking Lot#6,15895
"14306 PARK AVE., VICTORVILLE, CA",15885
MLK BLVD AND JUSTISON ST.,15845
"NO CHEYENNE, BADGER PEAK, COLSTRIP",15793
345 OAKHILL,15738
"LADUE: 73 Hunter Avenue, Ladue, MO 63105",15710
HARRISON AVE,15694
BIG SANDY ROAD,15683
ROUTE 52 (ONE MILE SOUTH OF I-64),15666
CALHOUN BOWATERS NORTH(B-1) LAMOUNTVILLE,15646
"84 E. 'J' ST., CHULA VISTA",15635
14700 GODDARD (ALLEN PARK),15632
"MT.PLEASANT HS, 1121 FOREST RD.",15632
"JAMES RIVER-SOUTH: Springfield, MO, 12435 (See coordinates for location)",15629
CHARLESTON BOWATERS SOUTH(B-2) WORTH ST.,15624
"NO CHEYENNE, GARFIELD PEAK, COLSTRIP",15613
"BELLEAYRE MOUNTAIN Cross Country Ski Area, Ulster and Delaware Tpk",15557
MULBERRY AVE.,15538
531A EAST FIRST STREET,15533
4101 Mistrot Drive,15512
"LONG ISLAND, BOSTON HARBOR",15415
3790 S Houston St,15397
"DEWAR STREET, DORCHESTER",15339
177 S. BROADWAY,15324
301 Spring Garden Road,15267
103RD AND LUELLA,15260
"Shady Lane Complex, 256 County House Road",15237
Behind 4401 S. Main Road,15223
130 Smith Street,15214
133 RIVER STREET,15196
RTE. 6 & YOUNG RD.,15162
1050 15TH STREET W,15159
 11500 43RD AVE NORTH PINELLAS PARK,15148
"MISSOURI STATE UNIVERSITY (MSU): Springfield, MO 65806",15124
"1237 S. BEVERLY , TUCSON",15080
"SOUTH BROADWAY: 8227 South Broadway, St. Louis, MO 63111",15078
MEEK'S PROPERTY,14971
"707 E 119TH ST SOUTH,PECK COMMUNITY BLDG",14929
57 DIVISION STREET,14899
DGC #16,14883
200 YARDS S. OF S650 & 1/4 M E. OF W400- ALCOA P2,14856
"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",14797
5 MILE ROAD,14785
"12100 W 1200 S, LAKEPOINT, UTAH",14780
"1100 PASEO INTERNATIONAL, OTAY MESA, CA",14653
1/2 MILE SOUTH OF S.R.-1,14641
IS 52    681 KELLY ST,14633
HOOK FIELD AIRPORT,14621
"PUMPING STATION @ INTERSECTION OF W. LATHROP AND AUGUSTA AVE, SAVANNAH, GA, 31415",14548
"Crumb Hill Road, Camp GEORGETOWN",14522
1 EAST BROAD STREET,14520
"Georgia Forestry Commision, 5645 Riggins Mill Road, Dry Branch, Georgia, 31020",14431
"BLAQTC - LOCKWOOD PARK, OLD HARDIN ROAD",14372
BEARPAW MGP #5,14201
E-SE OF PLANT- PSI/ Duke Energy-  Gibson Network / Gibson Tower,14180
2650 BIBLE RD.,14122
"8315 HIGHWAY 8, KENMARE",14118
700 SHELL ROAD,14056
"7823 BLACKFOOT WAY, NORTH HIGHLANDS",14022
PLEASANT STREET,13986
314 WEST CLEVELAND,13981
425 WEST MILL ROAD/ FIRE STATION #17,13978
"CEDAR BLUFF RESERVOIR,PRONGHORN & MULEY",13958
3801 SPRING FOREST RD.,13910
LEWINSVILLE 1437 BALLS HILL RD,13910
GEORGE ST TROOP AND CITY OF SCRANTON,13909
"405 WHEELER AVE, MCKEES ROCKS, PA 15132",13897
"600 Anderson St, Braddock, PA 15104 (North Braddock)",13892
MCCARRELL AND FAYETTE STS,13843
"583 W. 10TH ST., PITTSBURG",13840
71 E HIGH,13831
ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,13821
REGIONAL JAIL OF BAYAMON,13803
"MARGARETTA: 4520 Margaretta, St. Louis, MO 63115",13790
"651 Gibson Blvd., Harrisburg, PA 17104",13782
EASTMAN MEADOW VIEW,13766
10 ARKANSAS ST.,13754
"BLAQTC-BRICKYARD LANE,1430 LOCKWOOD ROAD",13752
EIGHT STREET AND RIVER ALLEY,13666
4103 BEACON HILL S,13634
5012 CAUSEWAY BLVD TAMPA FLORIDA,13634
ROCK GARDENS CLEVELAND ST.,13588
KO'OLINA GOLF COURSE,13578
3065 FITE RD,13564
"PORTSMOUTH, PEIRCE ISLAND",13537
 Center St,13535
Bank St at Meadow St (see coordinates),13529
"GA. TECH., Ford ES&T Bldg, 311 Ferst St NW, Atlanta GA",13513
4030 LINDEN STREET,13445
"White St at 8th Ave, parking garage roof",13417
"1865 D RUMRILL BLVD, San Pablo",13414
600 Dorsey Avenue,13408
