city_name,count
Clayton,368
El Centro,367
McKittrick,366
Southfield,363
Redlands,362
Reseda,362
San Manuel,357
Glendale,355
Midlothian,355
La Habra,355
East Pittsburgh,353
St. Cloud,351
Levittown,350
Baker,349
Midwest City,349
Brackenridge,349
Indio,345
Clairton,343
Bellevue,340
Madison,337
Port Arthur,335
River Forest,335
Trenton,334
Scranton,334
Ajo,333
Abilene,333
Montezuma Castle National Monument,332
Arlington Heights,330
Farmers Branch,329
Elgin,327
San Luis Obispo,327
Harvey,327
Mesa,326
Calumet City (PU RR name Calumet Park (sta.)),326
Grand Canyon,325
Sterling Heights,323
Wilkes-Barre,322
Sapulpa,320
Lakeport,320
Lennox,320
Lexington-Fayette (corporate name for Lexington),320
Lubbock,320
Covington,319
Lyons,318
Des Plaines,317
Cicero,317
Seven Oaks,314
Montana City,313
Greensboro,313
Irmo,310
Rockville,309
Nesquehoning,308
Lawton,306
Blue Island,305
Eugene,305
Baytown,303
Morenci,300
Waco,297
Clemson,294
Dillon,294
Harrison Township,293
Alexandria,292
Catano,289
Augusta,289
Wichita Falls,288
Winston-Salem,288
Bryn Athyn,287
Laurens,286
El Monte,286
Rome,285
Nashua,283
Tyler,274
Augusta-Richmond County (Remainder),274
Ogden,273
Durham,272
Organ Pipe Cactus National Monument,271
Cottonwood West,271
Gadsden,270
Sunrise Manor,269
Pitcairn,268
Brunswick,268
Biloxi,267
Nogales,265
Provo,265
Carbondale,265
McLean,265
Circleville,264
Londonderry,262
Palatine,262
Chelsea,261
Chicago Heights,259
Anoka,258
Danbury,257
Green Bay,256
Arlington,253
Sterling,248
Shreveport,247
Coraopolis,245
Texarkana,244
Medford,241
Swarthmore,239
Ponce,238
Youngstown,237
Channelview,236
Valrico,236
Pryor Creek (corporate name for Pryor),236
Mapleton,233
Perris,232
Davie,232
Northridge,231
Dayton,230
Gainesville,229
Garland,228
Irving,227
Bartonville,226
Tallmadge,225
Grand Junction,225
Coconut Creek,225
St. Paul Park,225
Hampton,224
Ontario,221
