observation_count,count
24,2208778
23,21080
22,8598
21,4129
20,2583
19,1725
18,1524
17,1451
16,1415
15,1364
14,1323
13,1292
12,1271
11,1157
10,987
9,859
8,688
7,514
1,402
6,343
5,278
2,277
3,247
4,245
