observation_count,count
24,3955598
23,2431493
22,721500
21,286656
20,149170
19,81259
18,50146
17,32546
16,23701
15,17568
14,15097
10,13269
13,12989
12,12524
9,12341
11,12305
8,10607
7,7353
1,5314
6,5162
2,4860
4,4299
5,3581
3,3493
