address,count
San Gorgonio Wilderness,16610
SOUTH OF SR88,16607
225 GARDEN VIEW DRIVE,16491
#1 Battleship Road,16480
Okefenokee NWR,16460
"356 State Street, Portland,  Maine",16440
"N RANGER STATION, POINT REYES NS",16340
"PET FOR NAT PARK, NEAR OLD SW ENTERANCE ON OLD ROUTE 180",16333
"ASH MOUNTIAN, SEQUOIA NATIONAL PARK",16300
Upper Buffalo Wilderness,16205
"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",16193
Fernberg Road,16165
WHEELING - WARWOOD WATER PLANT,16146
"46 John Coffee Road, Nicholls, GA 31554",16130
GREAT BASIN NATIONAL PARK,16025
CRATER LAKE NATIONAL PARK,15990
"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",15985
EVERGLADES NP,15875
SE LAFAYETTE/5824 SE LAFAYETTE,15775
Three Sisters Wilderness,15757
"CRATERS OF THE MOON NATIONAL MON, IDAHO",15710
623 Ellias Street,15688
700 Zaragosa St,15539
605 Avenue L,15492
426 Commerce Street,15473
500 SOUTH BROAD STREET-PARKING LOT (CHS),15430
1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,15410
Bliss SP (TRPA);,15395
700 West San Francisco Ave,15367
Ajax Mountain,15245
4100 Fairway Dr,15161
COUNTY RD 42,15129
Snoqualmie Pass,15060
PS 274  800 BUSHWICK AVE,14918
"US FOREST SERVICE RANGER STA., (SIPSEY) H'WY 33.",14790
AB TECH COLLEGE,14787
Cleveland Ave at Clark Dr,14693
"MAYVILLE, NEAR N6705 MADISON RD",14663
Moosehorn NWR,14660
1038 ROSS AVENUE,14616
Chassahowitzka NWR,14579
SENEY NAT'L WILDLIFE HCR2 BOX 1 (SENEY),14464
Barrett & Monahans Streets,14431
Gila Wilderness,14375
Sawtooth NF,14370
2956-A TREAT BOULEVARD,14321
"Northeast  Police Station, 1900 Argonne Drive",14291
Mount Zirkel Wilderness,14285
3355 Grandview Ave & 32nd St,14258
"ST JOHN, VIRGIN ISLANDS",14235
"2806 N. ASH ST., LA GRANDE",14227
"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",14131
1179 MONROE  (GRAND RAPIDS),14128
192 BROOKSIDE TERRACE WEST,14115
VOYAGEURS NATIONAL PARK,13965
Sula Peak,13860
618 LOGAN ST.,13847
"TRAILER,185 DINGENS STREET (near WEISS ST.)",13823
FRONT ST & NORRIS ST,13772
7801 LAWNDALE,13584
"3905 S. OLD SPANISH TRAIL, SAGUARO PARK EAST",13550
Yellowstone NP 2,13515
"84 E. 'J' ST., CHULA VISTA",13459
Hance Camp at Grand Canyon NP,13400
TOWER BLUE RIDGE PKWY MILE MARKER 410,13395
"108 CHERRY STREET, BURLINGTON",13366
9399 Lima St,13330
"803 N. LOREN AVE., AZUSA",13300
"1907 CARPENTER, DES MOINES IOWA",13286
2300 North Glasscock,13279
"301 A STATE STREET, RENO, NV 89502",13260
"Hawaii Volcanoes National Park, HI 96718",13240
2547 ST TIKHON,13182
2001 E 8th St,13116
PARK SERVICES OFFICE 1100 OHIO DRIVE,13110
WATER FILTRATION PLANT- 3330 Aldis St.,13077
"96 STATE STREET, Rutland, Vermont",13044
315 GENESEE (RIVER ROUGE),13020
"444 KINDELBERGER RD, FAIRFAX",13015
8715 CESSNA STREET,13007
Gregg Co Airport near Longview,12962
"Vegetable Farm 3, 67 Ryders Lane",12911
" 151 NO SUNRISE BLVD, ROSEVILLE, CA",12872
Isle Royale NP,12870
201 H O Mills Blvd,12856
3903 1/2 Old Highway 146,12828
1059 Arnold Road,12782
650 SOUTH AVE.,12643
16822 Kitzman,12595
"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",12591
MINGO REFUGE MAINTENANCE SHED,12557
47 Maple Street,12511
"CAMP DODGE, ROUTE 16, GREEN'S GRANT",12510
Starkey,12425
JOSHUA TREE NATIONAL MONUMENT,12392
8200 ENTERPRISE AVENUE,12388
"21-C,GLENWOOD-PEDLAR DISTRICT RANGER STA",12370
7210 1/2 Bayway Drive,12367
DOUGLAS COUNTY HOSP  42ND & WOOLWORTH,12352
200TH STREET AND SOUTHERN BLVD Harding Lab,12303
8311 PARKLANE ROAD [Parklane],12289
"MULTORPOR, BOX 87, GOVT CAMP, OR 97028",12277
2516 1/2 Texas Avenue,12273
1540 EAST 6TH STREET,12215
266-298 Spruce Street,12180
DONOHOE ROAD - PENN DOT MAINT DIST BLDG,12151
ILLINOIS VALLEY AIRPORT,12150
UL Bend,12135
North Cascades,12130
100 Linville Falls Road,12095
Hercules-Glades,12065
Medicine Lake,12065
13881 I94 EAST,12062
"WIND CAVE NATIONAL PARK, SOUTH DAKOTA",12050
Salt Creek,12035
1802 Nueces Bay Blvd (Citgo Refinery Co),12026
Presque Isle,12000
TWP RD 500 E.,11990
1713 2nd Street,11954
"213 S. Denning Ave, Winter Park, FL 32789",11922
"1210 N. 10TH ST.,JFK RECREATION CENTER",11920
"8315 HIGHWAY 8, KENMARE",11905
2020 Vidaurri Ave,11901
463 POLK 631,11896
Cabinet Mountains,11865
201 W. Riverside Dr.-Clarksville State Park-Falls of the Ohio State Park,11820
793 Rincon Ave.,11818
ST JOHNS ROAD QUAKER CITY,11815
48935 US HWY 12,11785
Casco Bay,11768
"P.O. BOX 867, LAVA BEDS",11730
2600B Webberville Rd,11721
"PEACE VALLEY ROAD, LEBEC",11715
304 TUOLUMNE ST.,11696
4266 40TH AVE NORTH,11668
MOHAWK MOUNTAIN ROAD (see coordinates),11665
PIKE AVE AT RIVER ROAD,11663
2514 S. SAGINAW ROAD,11662
Mount Baldy,11590
Pasayten,11580
FOX BOTTOM AREA,11560
1JAMES STREET,11559
Hells Canyon,11535
Monture,11520
Capitol Reef NP,11500
AMAZON PARK/499 E 29TH,11447
"468 MANZANITA AVE, CHICO",11444
900 FM 667 Ellis County,11410
10 S QUEEN ANN  QUEEN VALLEY,11393
4700A SAN MATEO NE,11326
San Rafael,11305
Wichita Mountains,11270
"Haleakala National Park, HI 96768",11250
Simeonof,11235
"120B N 4TH ST, SAN JOSE",11185
"CEDAR BLUFF RESERVOIR,PRONGHORN & MULEY",11175
Bosque del Apache,11175
2780 VIKING LAKE ROAD,11160
Intersection of W. Mile Wide Road and N. Sandario Road,11115
RUMFORD AVENUE AREA PARKING LOT,11101
Ike's Backbone,11080
24430 LACEY TRAIL,11060
"5121 Gandy Blvd, Tampa, FL 33611",11042
"3000 LEWIS ST. (NEAR BATH ST.) Philadelphia, PA. 19137",11026
Great River Bluffs,11025
Tallgrass,11020
22 POINT RD,11016
"NO CHEYENNE, BADGER PEAK, COLSTRIP",11005
"ROUTE 9, DELAWARE CITY",10995
"520 S. EAGLE ROAD,  MERIDIAN",10984
Hoover,10945
Flathead,10930
HOLMAN FIELD,10903
"40733 CHAPEL WAY., FREMONT",10871
Wheeler Peak,10868
"DEATH VALLEY NM, DEATH VALLEY, CA",10845
"3648 N. LONG BEACH BLVD., LONG BEACH",10752
White Mountain,10750
SIMON STREET AND RIDGE ROAD,10745
San Pedro Parks,10740
"VISITORS CENTER, ORGAN PIPE CACTUS NM",10720
650 R E Thomason Loop,10707
Kaiser,10705
North Absaroka,10700
PACK MONADNOCK SUMMIT,10690
1516 17th Street,10689
Gates of the Mountains,10675
Swanquarter,10640
"2500 E. PRESIDENT STREET, Bd-A, SAVANNAH, GA, 31404",10561
"1 HERRING CREEK RD, AQUINNAH(WAMPANOAG TRIBAL SITE)",10553
2201A Central St,10542
Lye Brook Wilderness,10538
"FORT MOUNTAIN, STATE HWY 52, COHUTTA OVERLOOK, CHATSWORTH, GA 30705",10515
Indian Gardens,10485
"King Farm, 160 Ralph King Path, Rockmart, Georgia, 30153",10437
400 W RIVER ROAD,10402
250 Rim Rd,10380
PLANT CUTOFF ROAD & INDUSTRIAL PARKWAY,10373
Meadview,10355
250 WM. HOWARD TAFT,10298
"600 E. VALLEY PKWY., ESCONDIDO",10281
FRONTIER AVE AT 55TH STREET,10205
"33 W TAMARISK AVE, PHOENIX",10187
Agua Tibia,10180
122 22ND STREET,10170
"ZION NATIONAL PARK, UTAH",10165
Trinity,10160
7020 12TH AVE S.,10130
Lewiston Country Kitchen Bakery Lot & CANAL ST,10122
Nebraska NF,10090
"AMTRAK, 5917 ELMWOOD AVENUE",10085
QUABBIN SUMMIT,10069
"Piney Run, Frostburg Reservoir, Finzel",10045
1751 OLIVER ST/ WHITING HIGH SCHOOL,10010
1769 S JEFFS RD (HOUGHTON LAKE),9959
Fort Peck,9927
1425 Airport Drive,9862
"480 ALTA RD, OTAY MESA, CA",9842
Weminuche Wilderness Area - Shamrock Station,9840
824 Sayle Street,9757
LaTourette     1001 RICHMOND HILL ROAD,9747
1004 MAIN ST.,9697
"814 14TH ST., MODESTO",9528
1242 JERSEY ST WYLAM AL,9505
Sac and Fox,9460
897 BARRON AVE.,9380
534 4TH ST.,9345
HILL ST.,9336
1599 WENIG RD NE,9312
763 BLOODWORTH ROAD,9311
"5300 South Pine Island Road, Davie, FL 33328",9306
CHARLESTON - 209 MORRIS STREET,9254
300 NICOLLET MALL,9239
"124 North Riverside Drive West, Tulsa OK  74127",9230
"Georgia Forestry Commision, 5645 Riggins Mill Road, Dry Branch, Georgia, 31020",9194
4010 WINSTON PARK BLVD,9176
4110 Blackstone Drive,9147
"LIBERTY: Highway & County Home Road, Liberty, 64068",9096
3790 S Houston St,8997
THUNDER BASIN GRASSLAND SITE 35 MI N-NE GILLETTE WY,8990
110 CENTURY PARK CIRCLE WEST,8981
"Georgia Forestry Commission, 4500 Georgia Highway 53 East, Dawsonville, Georgia, 30534",8941
"40 DIVISION STREET, PS 124",8934
"Dana Engineering Bldg. Bucknell University, Lewisburg, PA",8900
555 CEDAR STREET,8860
Sycamore Canyon,8803
FT. CRONKHITE BLDG 1111,8785
4364 Independence Parkway South,8679
"UPPER RIDGE ROAD, ROUTE #2",8670
91 WAKEFIELD STREET/ 110 THRUSTON STREET [Greenville Health Department],8642
MARCUS HOOK ELEMENTARY SCHOOL,8578
12575 NW 10TH (WATER TOWER),8575
End of 90th Street @ Jefferson County Airport,8558
"PEACE VALLEY RD/FRAZIER PARK MTN RD, LEBEC",8525
"14035 Blaine Ae. E., Rosemount, MN",8522
"860 4TH ST, PEARL CITY",8507
12555 Clayton Ave,8459
"21-55 Wabanaki Way, Old Town, ME",8455
5005 Minnetonka Blvd.,8431
717 South Akard,8430
1902 WEST SCHUNIOR,8347
2552 JEFFERSON AVE.,8261
1780 E. HUBERT ROAD,8214
East Chicago- Marina/ 3301 Aldis St.,8184
"1309 T ST., SACRAMENTO, CA. 95814",8171
RIVERSIDE STREET PRESQUE ISLE,8155
"2730 CANNONS LANE, BOWMAN FIELD",8153
17TH & 5TH AVE. N. PUMPHOUSE ROOF,8115
WASHINGTON & CAMBRIA STS. FREEMANSBURG,8100
"BAHNSON AVE, HILLTOP SITE",8100
13TH & TUDOR,7984
"BONNE TERRE: 15797 Highway D, Bonne Terre, MO 63628",7970
HILLMAN STATE PARK - KINGS CREEK ROAD,7954
Crescent Lake,7910
Sierra Ancha,7880
"EL DORADO SPRINGS: Highway 97 & Barnes Road, El Dorado Springs, 64744",7830
Haleakala National Park,7830
"2743 Washington Blvd, McKeesport, PA 15133 (Liberty)",7801
"TWO LIGHTS STATE PARK, Near the Obsevation Tower",7764
360 Clinton Avenue,7672
1300 S FORT ST (MARATHON-1N),7662
"1277 PUTNEY ROAD, RTE 5 BRATTLEBORO",7639
150 Pillsbury Rd,7596
Industrial Rd.,7594
"CANAL AND BLUE BELL, SPORTS COMPLEX",7592
Blue Mounds,7580
"Presque Isle State Park, Erie PA 16505",7551
"1065 7TH ST., RICHMOND",7525
ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS,7520
W10746 Cty Rd. M,7516
2700 Austin Ave,7490
"984 East Avenue, Chico",7490
"310 N CHURCH ST, VISALIA",7489
4250 Karen Ave,7485
GUTHRIE - AGRICULTURAL CENTER,7476
9401 1/2 Manchester Street,7476
Tuxedni,7470
GRANT & GROVE STREETS,7442
1300 S FORT ST (MARATHON-4E),7395
6940 OXFORD GETTYSBURG RD.,7394
4829 A  Galveston Rd,7392
Cloud Peak,7390
"ARNOLD WEST: 1709 Lonedell Drive, Arnold, MO 63010",7386
613 N.E. JEFFERSON,7385
PUMP STATION- 1 WASHINGTON ST.,7382
15TH & MADISON,7375
563 EAST 5TH AVENUE,7363
533 First Street,7351
7101 BIRCH ST.,7344
HEATON & DUBOIS,7342
"I-15 Exit 209, then Sperry Dr.",7316
1300 S FORT ST (MARATHON-2AW),7302
2052 LAUWILIWILI ST,7300
5551 BETHEL ISLAND RD,7264
9472A Hwy 1484,7258
"30 NORTH MAIN STREET, LINDON, UTAH",7254
12800 VISGER ST (MARATHON-MKT),7245
6388 Haley Rd. (Shelby Farms NCORE site),7222
"PIERRE MORAN SCH., 200 W. LUSHER AVE.",7201
Columbia Gorge #1,7155
254 Seale Road,7101
NCore - North Cheyenne Soccer Complex,7016
3004 N. WESTMORELAND,7005
7354 W. US 36/ SHENANDOAH H.S.- MIDDLETON,6988
"Portland Humboltd School (PHS), 4915 N Gantenbein Ave",6980
"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",6980
1745 N. SPRINGFIELD,6966
CHARLER01 WASTE TREATMENT PLANT,6960
"300 Allied Industrial Bvld., Macon, Georgia 31206",6942
2815 English Ave.- FLORENCE FAY SCHOOL 21,6927
2900 Fort Harrison Rd. INDOT Maintenance Facility/ Terre Haute-Fort Harrison Rd,6915
Boulder Lake,6900
"25724 Chef Menteur Hwy, New Orleans, LA",6845
360 FISHBURNE STREET [Charleston Public Works],6840
"FIRE STA#11, G.WASHINGTONBLVD & E.SKINNE",6807
54 N. WALCOTT,6768
650 W EASTERDAY AVE (SAULT STE MARIE),6764
SEYMOUR & VINE ST.,6758
1445-1449 15TH STREET,6745
"9001 'Y'STREET,FT.MEADE,ANNE ARUNDEL MD",6726
6700 WHITEWAY DRIVE TAMPA,6712
837 5TH ST.,6689
"675 7TH AVENUE, FAIRBANKS",6678
CHARLESTON - 1436 DIXIE STREET,6658
NEW GARDEN AIRPORT - TOUGHKENAMON,6650
1810 N 16TH STREET,6648
3535 E. 114TH ST.,6588
500 11TH ST NW,6584
FORT MCHENRY VISTORS CENTER,6548
Corner of First & Elsbeth Streets,6538
K-96 AND HYDRAULIC,6512
"Bungalow Road Elementary School, 2216 BUNGALOW RD, AUGUSTA GA 30906",6510
"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",6495
2220 MICHIGAN,6485
4625 MILDRED DRIVE,6480
Interstate 95 South Welocme Center,6480
"BRINWELL 22P, STEWART RD (DOW)",6469
7802 SOUTH L STREET,6467
"Swarthmore College, Hicks Hall, 500 College Ave., Swarthmore, PA",6466
"Cusseta Road Elementary School, 4150 Cusseta Road, Columbus, Georgia, 31903",6450
"PORTSMOUTH, PEIRCE ISLAND",6445
1500 WEST SEVENTH,6444
FIRE STA#7  ST.PAUL & WEST 13TH,6430
NORTHWEST NAZARINE COLLEGE (NNC),6402
FIRE STA#12  GLEN & PAWNEE,6401
7701 W. JEFFERSON (YELLOW FREIGHT),6395
"KENDALL AVE,Crockett",6380
"274 S Pearl St, Albany, NY 12202",6380
911 Old Hwy 90 West,6370
642 W. EXCHANGE ST.,6358
"CITY FIRE STA , 1010 CENTER",6343
KORBEL AVE.,6269
2180 LAKE BREEZE,6244
"601 E. Main St. Collegeville, PA",6241
2420 Luisa Ln,6230
MORGANTOWN - AIRPORT US 119&AIRPORT BLVD.,6227
4850 WILSON AVE.,6124
"FMC Corporation ,1701 E Patapsco Avenue",6110
10TH AND MARNE STREETS,6101
"FIRE STA#3 ,420 KANSAS AVE",6096
735 W. HARRISON,6082
1100 21st Street,6052
"UTOY CREEK, 736 SELIG DR.",6049
206 E 6TH ST- Jasper Post Office,6038
"11245 Port Hudson-Pride Rd. Zachary, La",6028
"14360 ARROW BLVD., FONTANA",6025
143 13TH AVE. N.E.,6011
105 SOUTH 17TH ST @ LOCKELAND SCHOOL,5918
851 SW 3 AVENUE POMPANO BEACH,5914
 ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.,5877
"521 JONES ST, Martinez",5842
M.K. Goddard,5840
4500 W. 123RD ST.,5831
FOREST HEIGHTS/1706 NW 24TH AVENUE,5784
Livonia,5780
"1115 SE 9th Street, Pryor OK",5764
LOCATED IN A TREE FARM (Cheeka Peak),5755
2646 John Stine Road,5747
4545 Navajo St.,5704
327 First St. S.,5699
"PERRY COUNTY HORSE PARK, 354 PERRY PARK ROAD",5671
1111 NAVIGATION BLVD CORPUS CHRISTI,5667
2701 PLUNKETT STREET HOLLYWOOD,5633
1801 9th Ave. SE,5625
Sikes,5615
1221 GREGG STREET [SCDPPPS],5604
"Buford, CO",5555
232 East Woodrow Wilson Drive,5546
"OLD DOVER HIGHWAY CADIZ, KY",5540
"1865 D RUMRILL BLVD, San Pablo",5532
1630 W. PAMPAS LANE,5490
1616 BUCHANAN ST.,5486
"HEALTH DEPT., 1900 EAST 9TH ST.",5482
7529 GRACELY DRIVE,5460
4830 JENKINS AVE. [Jenkins Av.],5429
"MOUNDSVILLE - NG ARMORY, 1501 NINTH STREET",5420
4700 East Marginal Way South,5419
149 & Yankee Doodle Rd.,5409
902 GRANT AVENUE,5403
"Mount Snow Ski Area, 39 Mount Snow Road, West Dover, VT 05356",5395
1650 Ludlow Ave.- Indianapolis- I 70,5385
"908 N VILLA AVE, CLOVIS",5362
"1100 PASEO INTERNATIONAL, OTAY MESA, CA",5343
"HEALTH DEPT, 301 WEST ALDER",5322
"1276 RANDOLPH, GRAND RAPIDS",5304
"601 Maple Street, Lot #6, Rossville GA 30741",5304
1330 DUEBER,5300
809 Pioneer Road,5296
130 WEBB DRIVE Loudon TN 37774,5294
"Whiting-Center St.  1500 Center St. Whiting, IN School City of Whiting (HS Admin. Bldg)",5280
"695 Fair Street, Gainesville, Georgia, 30501",5217
2105 BROADWAY,5215
LUMS POND STATE PARK,5182
Brooklyn Lake,5170
120-07 15TH AVE,5132
PUMP STATION 2100 1ST AVE,5041
9511 Avenue V 1/2,5040
2700 Disney,5025
"4200 Pine Ave, Niagara Falls, NY 14301",5024
4252 WATERWORKS ROAD,4975
"7000 N. Ocean Drive, Dania, FL 33004",4967
400 S. EAGLE ST.,4956
57 DIVISION STREET,4951
65180 Belleview Road,4822
"HOSPITAL-15400 FOOTHILL BLVD,SAN LEANDRO",4808
11153 Kling Road,4782
402 SOUTH 4TH AVE,4774
"QUINCY SCHOOL, 1500 N.QUINCY",4771
"NORTH SITE, BISHOP ROAD",4748
KY-95 & ALABAMA STREET,4732
ARNOLD TENBROOK & TENBROOK,4716
3871 Germantown Pike,4710
"22224 PLACERITA CANYON RD, SANTA CLARITA",4704
La Grande North Hall St and east N St. (LHN),4702
11600 EAST SEVEN MILE RD (DETROIT-E7M),4689
Alley Btwn N. Park Pl. and S. Park Pl.,4626
1310 CLEVELAND AVE,4620
LINCOLN PARK ELEMENTARY SCH. (NW CORNER),4617
"WMRC/NCORE, 3000 E. LINE ST., BISHOP, CA. 93514",4610
MILLER AUTO SHOP 1 MESSENGER ST,4592
PEARL ST,4587
"5041 ALABAMA HWY., ROME, GA 30165",4560
5750 MAPLE CANYON,4518
190 Main Street,4510
"651 Gibson Blvd., Harrisburg, PA 17104",4506
"1144 13TH ST., RICHMOND",4501
"323 South BULL STREET [Bates House, USC]",4494
"1350 COLISEUM BLVD, MONTGOMERY, ALABAMA",4470
345 OAKHILL AVE.,4470
"1350 SAN BERNARDINO RD., UPLAND",4462
NORTH OF NEWKIRK OK. ON HWY 77 - EAST HOME ROAD (E0040RD) .90 MILES,4455
355 BUSBY RD,4452
West Jackson at Tupelo Airport,4448
555 TOWNER ST (YPSILANTI),4441
GEORGE ST TROOP AND CITY OF SCRANTON,4434
