address,count
GLACIER NATIONAL PARK,9506
2 Miles west of Redwash atop Deadman's Bench,9506
DGC #12,9501
"9302 FOX DR.,  COBB, CA",9497
"HIGH VALLEY RD, COBB, CA",9496
"5895 ENTERPRISE PARKWAY,",9494
"GRAND CANYON NATIONAL PARK, W RIM DRIVE",9481
3277 W Redbird Lane,9479
"DEL PASO-2701 AVALON DR, SACRAMENTO",9475
"200 E. BUENA VISTA, BARSTOW",9471
"DEATH VALLEY NM, DEATH VALLEY, CA",9460
"2625 Georgia Highway 212, Conyers, Georgia, 30094",9423
"SCHAHFER GENERATING STATION, WHEATFIELD- NIPSCO Schahfer",9393
"BELLEAYRE MOUNTAIN Cross Country Ski Area, Ulster and Delaware Tpk",9388
"5888 MISSION BLVD., RUBIDOUX",9343
YELLOWSTONE NATIONAL PARK,9318
DANIEL SOUTH ~ 4 MILES SO OF DANIEL WYO OFF OF HWY 189,9312
"201 MISSISSIPPI ST., IITRI BUNKER",9309
VOYAGEURS NATIONAL PARK,9307
W. ALTON JONES CAMPUS URI PARKERFIELD WE,9249
Spring Creek Encana,9247
Barrett & Monahans Streets,9231
2300 North Glasscock,9222
"EL CAPITAN ST PRK, HWY 10",9212
SE LAFAYETTE/5824 SE LAFAYETTE,9208
"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",9168
4514 1/2 Durant St,9159
PETERSON ELEM/4856 CLINTON ST,9157
"1630 N MAIN ST, LOS ANGELES",9153
"24302 4TH ST., SAN BERNARDINO, CA.",9121
4700A SAN MATEO NE,9118
"SIERRA SKYPARK#2-BLYTHE & CHNNLT, FRESNO",9092
1321 SOUTH HARDING,9079
800 S San Marcial Street,9078
"608 COWEE AVE, GRIDLEY",9076
1979 Fairview Rd,9059
"KEELER, 190 Cerro Gordo Road",9048
"JOHNSON FARM, EDISON, CA. 93320",9046
390 PARKLAND,9038
12200 Lime Creek Rd,9035
426 Commerce Street,9027
MAMMOTH CAVE NP - ALFRED COOK ROAD,9023
" 3111 GOLD NUGGET WAY, PLACERVILLE, CA",8999
"501 GOLD STRIKE ROAD, SAN ANDREAS",8998
"LCM/CENTER & M ST, LAKEVIEW, OR",8991
"3311 Manor St, Oildale CA 93308",8983
3810 Huisache Street,8982
ANDERSON RD AFB,8959
"1309 T ST., SACRAMENTO, CA. 95814",8945
FOX BOTTOM AREA,8945
1405 Sheldon Road,8938
567 Eagle Lake Road,8937
SHERWOOD ISLAND STATE PARK,8902
"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",8898
21441-W B STREET,8887
"BEEKLEY & PHELAN RDS, PHELAN",8872
"DEVILS LAKE STATE PARK, E12886 TOWER RD",8858
" 251 S BARRETTA, SONORA, CA 95370",8846
" 201 CLINTON ROAD, JACKSON, CA 95642",8845
"773 ALMOND ST, YUBA CITY",8831
35 Ford Road,8830
"HAZELTON-HD, STOCKTON",8826
"1300 GUADALUPE RD., NIPOMO, CA., 93444",8776
"278 Bisby Road, NICKS LAKE CAMPGROUND",8770
RD. 29 1/2 NO. OF AVE 8 MADERA COUNTY,8768
"235 SANTA FE AVENUE, PASO ROBLES, CA",8761
"INTERSECTION OF HWY 212 & 39, LAME DEER",8754
400 W RIVER ROAD,8744
Denton Airport South,8729
960 Bostwick Lane,8724
4266 40TH AVE NORTH,8715
"2027 S. ST. PHILLIPS RD., Evansville",8710
Juel Spring - 20 miles NW of Farson on the west side of US Highway 191,8694
"200 S. HATHAWAY ST., BANNING CA",8679
6400 Bissonnet Street,8675
1575 HIGHWAY 31,8666
"UC DAVIS-CAMPUS, CAMPBELL ROAD WEST OF HIWAY 113 & SOUTH OF HUTCHISON DRIVE.",8653
14620 Laguna Rd,8636
"310 N CHURCH ST, VISALIA",8617
"Wilmington, BASE WHITEFACE MTN, ASRC, SUNY",8594
"8150 Hardscrabble Road,  WESTFIELD",8594
"5558 California Ave., Bakersfield CA 93309",8584
205 WILOUGHBY BLVD,8570
6024 HIGHWAY 200,8528
"50 NATOMA STREET, FOLSOM",8523
