observation_percent,count
100.0,7432775
88.0,2208407
96.0,1786435
92.0,408884
75.0,343448
63.0,97586
83.0,62582
50.0,46395
38.0,31839
79.0,30947
25.0,15661
71.0,13222
67.0,10388
58.0,8839
54.0,8635
13.0,8606
46.0,7438
42.0,7218
33.0,5071
29.0,3513
4.0,3049
17.0,2058
21.0,1785
8.0,1447
