method_code,count
702,684486
731,522908
771,475223
707,448435
701,216736
810,186671
703,108647
715,60672
733,54509
170,52682
760,47672
761,33261
812,30969
753,21210
704,19411
750,18659
717,17975
712,15009
713,12768
820,9573
711,9116
171,8313
850,8245
145,7227
716,6499
183,6231
178,5889
830,5702
236,5632
181,5091
734,2969
785,2346
792,2208
724,2196
790,2043
781,1770
789,1739
195,1739
791,1356
722,1245
793,1177
802,1155
718,936
184,685
740,631
118,396
723,339
238,59
741,23
