address,count
"JAIL-CANYON DR, HAYDEN",6779
"24302 4TH ST., SAN BERNARDINO, CA.",6755
"FS-590 RACQUET CLUB AVE, PALM SPRINGS",6750
CROTON ST & JEFFERSON ST.,6749
"814 14TH ST., MODESTO",6727
3847 W EARLL DR-WEST PHOENIX STATION,6718
1401 CORPORATION PARKWAY,6717
100 N. 2ND AVE.,6694
"405 WHEELER AVE, MCKEES ROCKS, PA 15132",6687
"8315 HIGHWAY 8, KENMARE",6650
7701 DUCHARME AVE,6633
"West Mesa Well #46, Las Cruces, NM",6596
"CREDIT UNION SITE, 106 KINNEY AVE.",6553
2702 RC ESTERBROOKS BLVD,6553
"5888 MISSION BLVD., RUBIDOUX",6546
1369 DOCK STREET [Georgetown],6534
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",6455
"3500 PORT PLACE  MUSKOGEE, OK 74403",6453
"100 SUNRISE BLVD., COLUSA",6414
3940 WEST BROADWAY ROAD PHOENIX AZ,6403
ST THOMAS SCHOOL 1025 BRADDOCK AVE,6377
1740 GALLIA PIKE,6360
2840 BACK RD.,6343
1810 N 16TH STREET,6341
BADLANDS PO BOX 6 HEADQUARTERS,6330
2446 GALLIA PIKE,6320
2501 SUNRISE AVENUE,6302
36697 W PAPAGO DR STANFIELD,6275
RAWHIDE HILLTOP SITE,6246
26453 W. MC85,6244
RAWHIDE NORTH SITE,6188
700 Cajundome,6186
"3120 E. 30TH ST., WASHINGTON PARK",6171
"BILL STANLEY, US HWY 395, 17 miles south of Lone Pine",6159
781 E. GAMEBIRD,6146
"600 Anderson St, Braddock, PA 15104 (North Braddock)",6140
1JAMES STREET,6126
"651 Gibson Blvd., Harrisburg, PA 17104",6125
HILL ST.,6113
"229 SERVICE RD., WATFORD CITY",6110
11723 OLD GLENN HIGHWAY,6107
4266 40TH AVE NORTH,6101
END OF 10TH ST,6100
"5935A VALLE VISTA, SUNLAND PARK, NM",6089
"FAJARDO LIGHTHOUSE,FAJARDO",6073
"DEVILS LAKE STATE PARK, E12886 TOWER RD",6066
"HAZELTON-HD, STOCKTON",6042
1630 W. PAMPAS LANE,6034
801 4TH AVE SW - WATERTOWN,6007
"47674 SCHOOL ST., OAKRIDGE",6004
"WIND CAVE NATIONAL PARK, SOUTH DAKOTA",5999
8825 NORTH LINDA STREET,5942
"Chevron Kemmerer Mine Site 800 (Formerly FMC SKULL POINT MINE), KEMMERER, WY",5940
"NORTH SITE, MOUNTAIN CEMENT CO. LARAMIE, WY",5931
FLAT ROCK - HIGHWAY 190 - 1 MILE W OF HWY 136 JUNCTION,5898
5130 POINSETTIA PLACE,5880
"1300 GUADALUPE RD., NIPOMO, CA., 93444",5869
"33 W TAMARISK AVE, PHOENIX",5865
HEYWARD ST @ WILLIAMS ST [Olympia],5857
"506 W FLINT ST, LAKE ELSINORE",5856
Boulder APPROX 3 MILES WEST OF BOULDER,5855
"401 N MARSHALL ST, CASA GRANDE",5852
"EAST SITE, MOUNTAIN CEMENT CO. LARAMIE, WY",5836
177 S.  BROADWAY AVE.,5826
STILES STREET.,5825
"1350 SAN BERNARDINO RD., UPLAND",5818
GLADSTONE HIGH SCHOOL,5810
"FIRE STA#11, G.WASHINGTONBLVD & E.SKINNE",5807
"AZ HWY DEPT YARD-WELL RD, AJO",5699
S OF HWY 30 AND E OF WEAVER RD,5662
DANIEL SOUTH ~ 4 MILES SO OF DANIEL WYO OFF OF HWY 189,5657
2207 SOUTH HIGLEY ROAD,5628
"3412 Raymond Reed Blvd, Deming, NM",5616
2421 MESILLA AVE. N. E.,5608
"6000 W OLIVE AVE,GLENDALE",5556
"HOUSING AREA, PAUL SPUR",5551
"LINCOLN SCHOOL PARKING LOT, 1325 POPLAR",5533
"8840 W ROBINSON STREET, RILLITO",5530
1020 E. WILSON ROAD,5505
"128 S 'H' ST, LOMPOC",5497
425 4TH ST.,5496
163 LEE ST.,5493
