cbsa_name,count
"Vineland-Bridgeton, NJ",4014
"Albany-Schenectady-Troy, NY",3884
"Minot, ND",3758
"Athens, OH",3600
"Duluth, MN-WI",3429
"Bishop, CA",3286
"Baraboo, WI",3070
"Clarksville, TN-KY",3062
"Cedar City, UT",3004
"Greenville-Anderson-Mauldin, SC",2924
"Holland, MI",2908
"Cambridge, MD",2844
"Killeen-Temple, TX",2832
"Huntsville, AL",2819
"Tallahassee, FL",2761
"Springfield, MO",2736
"Sanford, NC",2652
"Iron Mountain, MI-WI",2601
"Jackson, WY-ID",2568
"Coeur d'Alene, ID",2502
"Morristown, TN",2459
"Columbus, IN",2426
"Pocatello, ID",2384
"Pensacola-Ferry Pass-Brent, FL",2350
"Muskogee, OK",2321
"Brownsville, TN",2282
"Fort Wayne, IN",2266
"Oxford, NC",2214
"Truckee-Grass Valley, CA",2210
"Payson, AZ",2174
"Richmond, IN",2174
"Tullahoma-Manchester, TN",2147
"Roanoke Rapids, NC",2050
"Morgan City, LA",1950
"Cedar Rapids, IA",1909
"Billings, MT",1710
"Florence-Muscle Shoals, AL",1528
"Greeley, CO",1515
"Indiana, PA",1515
"Salisbury, MD-DE",1504
"Missoula, MT",1471
"Yuma, AZ",1466
"Mountain Home, ID",1414
"Monroe, LA",1317
"Cleveland, TN",1213
"Enid, OK",1143
"Laramie, WY",1112
"Shreveport-Bossier City, LA",1066
"Augusta-Richmond County, GA-SC",1053
"Greensboro-High Point, NC",1044
"Pontiac, IL",1024
"Cookeville, TN",1014
"Danville, VA",868
"Macon, GA",809
"Moses Lake, WA",808
"Sheridan, WY",744
"Corinth, MS",732
"Central City, KY",730
"Hermiston-Pendleton, OR",730
"Scottsboro, AL",720
"Union City, TN-KY",714
"Parkersburg-Vienna, WV",632
"Grand Forks, ND-MN",562
"Carson City, NV",552
"Lawton, OK",457
"Red Wing, MN",450
"Canton-Massillon, OH",353
"Madison, WI",312
"Sheboygan, WI",238
"Ukiah, CA",236
"Montgomery, AL",192
"Tupelo, MS",181
"Ludington, MI",176
"Niles-Benton Harbor, MI",87
