observation_percent,count
100.0,6382395
96.0,116628
92.0,54833
88.0,23263
83.0,10582
79.0,6082
54.0,4268
50.0,4181
75.0,4101
58.0,4088
46.0,4020
42.0,3856
63.0,3647
67.0,3412
38.0,3325
71.0,3294
33.0,2598
29.0,1652
25.0,1060
21.0,674
4.0,641
17.0,575
8.0,469
13.0,464
200.0,10
