local_site_name,count
SITE MOVED FROM EAST CHICAGO FIELD SCHOOL,13077
State of Vermont District Court Parking Lot,13044
River Rouge,13020
KINDELBERGER,13015
GALVESTON ISLAND,13007
Longview,12962
Rutgers University,12911
Roseville-N Sunrise Ave,12872
City Service Center / PA,12856
Shore Acres,12828
Reading Airport,12782
GRAND JUNCTION - POWELL BLDG,12643
Northwest Harris County,12595
ASHLAND PRIMARY (FIVCO),12591
Gulfport Youth Court,12511
"CAMP DODGE, GREENS GRANT",12510
Joshua Tree NP - Black Rock,12392
SW WASTE TREATMENT PLANT,12388
Natural Bridge Ranger Station,12370
Baytown,12367
4102 Woolworth Ave. on Healthcenter Warehouse,12352
BOTANICAL GARDEN,12303
PARKLANE,12289
"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",12277
Texas City Ball Park,12273
Harding High School,12215
Camden Spruce Street,12180
LAT/LON POINT IS TRAILER,12151
IVA,12150
Linville Falls,12095
PAINTED CANYON,12062
Wind Cave NP - Visitor Center,12050
Corpus Christi Hillcrest,12026
ISWS CLIMATE STATION,11990
Galena Park,11954
WINTER PARK,11922
JFK,11920
LOSTWOOD NWR,11905
Laredo Vidaurri,11901
EAGLE MOUNTAIN,11896
Clarksville,11820
Livermore,11818
"ST JOHNS ROAD QUAKER CITY, OH",11815
Lava Beds National Monument,11730
Austin Webberville Rd,11721
Vallejo,11696
FARGO NW,11668
Mohawk Mt-Cornwall,11665
PARR,11663
Mount Baldy,11590
TRURO NATIONAL SEASHORE,11560
Criscuolo Park-New Haven,11559
Eugene - AMAZON PARK (EAP),11447
Chico-Manzanita Ave.,11444
Italy,11410
QUEEN VALLEY,11393
DEL NORTE HIGH SCHOOL,11326
San Rafael Wilderness,11305
Haleakala National Park,11250
San Jose - 4th St.,11185
CEDAR BLUFF,11175
VIKING LAKE STATE PARK,11160
Saguaro National Park - West,11115
Rumford Avenue Parking Lot (RAP),11101
Mazatzal Wilderness - Ike's Backbone,11080
LAKE SUGEMA STATE PARK II,11060
USMC Reserve Center (Gandy),11042
North East Waste (NEW),11026
Great River Bluffs,11025
Point Road,11016
Route 9 Delaware City,10995
Meridian - St. Luke's,10984
Hoover Wilderness,10945
Holman Field,10903
Fremont - Chapel Way,10871
Death Valley NP - Park Village,10845
Long Beach (North),10752
SIMON STREET,10745
ORGAN PIPE NM,10720
Ascarate Park SE,10707
Kaiser Wilderness,10705
MILLER STATE PARK,10690
Nederland 17th Street,10689
Savannah-E. President,10561
"1 HERRING CREEK RD, AQUINNAH (WAMPANOAG TRIBAL SITE)",10553
Milby Park,10542
Fort Mountain,10515
"Yorkville, King Farm",10437
CHILDREN'S PARK NCore,10402
El Paso UTEP,10380
TVA SUBSTATION,10373
Taft NCore,10298
Escondido,10281
SOUTH PHOENIX,10187
Aqua Tibia Wilderness,10180
21ST & GREENUP,10170
Zion NP - Dalton's Wash,10165
Trinity,10160
Richfield Intermediate School,10130
COUNTRY KITCHEN BAKERY PARKING LOT,10122
ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),10085
QUABBIN RES,10069
