cbsa_name,count
"Champaign-Urbana, IL",14360
"Sioux Falls, SD",14196
"Bellingham, WA",13990
"Lancaster, PA",13821
"San Antonio-New Braunfels, TX",13802
"Carlsbad-Artesia, NM",13651
"Williamsport, PA",13598
"Santa Cruz-Watsonville, CA",13535
"State College, PA",13406
"Madison, WI",13393
"Torrington, CT",13223
"Cumberland, MD-WV",13205
"Monroe, LA",13109
"Coffeyville, KS",12996
"Flint, MI",12963
"Corsicana, TX",12733
"Quincy, IL-MO",12493
"Pottsville, PA",12473
"Bowling Green, KY",12259
"Indiana, PA",12172
"Rapid City, SD",11985
"San Jose-Sunnyvale-Santa Clara, CA",11969
"Ottawa-Peru, IL",11843
"Georgetown, SC",11778
"Lewiston-Auburn, ME",11558
"Oxnard-Thousand Oaks-Ventura, CA",11440
"St. Joseph, MO-KS",11424
"Gillette, WY",11318
"Corning, NY",11120
"Canton-Massillon, OH",11009
"Guayama, PR",10646
"Bakersfield, CA",10641
"Beaver Dam, WI",10524
"Escanaba, MI",10394
"Keene, NH",10320
"Waco, TX",10220
"Salisbury, MD-DE",10123
"Cheyenne, WY",9850
"Coco, PR",9714
"Amarillo, TX",9636
"Brunswick, GA",9151
"Fort Madison-Keokuk, IA-IL-MO",9117
"Wausau, WI",8865
"Boise City, ID",8824
"Great Falls, MT",8804
"Claremont-Lebanon, NH-VT",8706
"Bangor, ME",8598
"Austin-Round Rock, TX",8530
"Albuquerque, NM",8507
"Des Moines-West Des Moines, IA",8471
"Casper, WY",8230
"Reno, NV",8080
"Mason City, IA",8056
"Fayetteville, NC",8042
"Ogdensburg-Massena, NY",7842
"Riverton, WY",7815
"Augusta-Waterville, ME",7552
"Kalamazoo-Portage, MI",7507
"Columbus, GA-AL",7458
"Fairbanks, AK",7452
"Kapaa, HI",7360
"Lansing-East Lansing, MI",7196
"Duluth, MN-WI",7148
"Cambridge, MD",6934
"Central City, KY",6925
"Hickory-Lenoir-Morganton, NC",6768
"Norwich-New London, CT",6513
"Tahlequah, OK",6398
"Rochester, MN",6131
"Asheville, NC",6123
"Fort Wayne, IN",6092
"Homosassa Springs, FL",5951
"Monroe, MI",5712
"Aberdeen, WA",5704
"Dubuque, IA",5218
"Iron Mountain, MI-WI",5202
"Texarkana, TX-AR",5076
"Sevierville, TN",5052
"Gettysburg, PA",5039
"Brownsville-Harlingen, TX",4881
"Glens Falls, NY",4850
"Ponce, PR",4749
"Bishop, CA",4525
"Wisconsin Rapids-Marshfield, WI",4279
"Milledgeville, GA",4189
"Minot, ND",4148
"Tallahassee, FL",4042
"Enid, OK",3946
"Ames, IA",3934
"Borger, TX",3888
"College Station-Bryan, TX",3840
"Mount Pleasant, TX",3779
"Marshall, TX",3763
"Blacksburg-Christiansburg-Radford, VA",3752
"Appleton, WI",3712
"Wenatchee, WA",3654
"Big Spring, TX",3556
"Rocky Mount, NC",3527
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3416
"Athens, OH",3389
"Los Alamos, NM",3217
"Palm Bay-Melbourne-Titusville, FL",3063
"Miami, OK",3051
"Lafayette-West Lafayette, IN",3049
"Morristown, TN",3016
"Greenville, NC",2936
"Greensboro-High Point, NC",2912
"Lincoln, NE",2883
"Brownsville, TN",2875
"Alma, MI",2872
"Albany, GA",2783
"Sanford, NC",2638
"Columbus, IN",2610
"Decatur, AL",2539
"Dover, DE",2485
"Jackson, TN",2466
"Logan, UT-ID",2466
"Montgomery, AL",2222
"Staunton-Waynesboro, VA",2194
"Tullahoma-Manchester, TN",2186
"Ithaca, NY",2178
"Seneca Falls, NY",2174
"Roanoke Rapids, NC",2164
"Jamestown, ND",2159
"Cambridge, OH",2135
"Evanston, WY",2130
"Vincennes, IN",1938
"Vernal, UT",1812
"Modesto, CA",1760
"Grand Junction, CO",1740
"Sheboygan, WI",1693
"South Bend-Mishawaka, IN-MI",1556
"Orangeburg, SC",1518
"Dodge City, KS",1515
"Grand Forks, ND-MN",1422
"Lawton, OK",1365
"Cadillac, MI",1326
"Auburn, IN",1256
"Ukiah, CA",1251
"Trenton, NJ",1197
"Laramie, WY",1165
"Baraboo, WI",1124
"Huntsville, AL",1120
