date_of_last_change,count
2014-02-11,4158
2022-03-22,4122
2018-01-24,4087
2014-02-14,4075
2014-03-05,4033
2022-02-07,3998
2022-03-07,3993
2015-02-27,3989
2019-03-08,3986
2020-01-15,3904
2014-10-09,3898
2021-01-12,3818
2013-12-31,3801
2021-07-23,3790
2021-07-29,3726
2015-03-20,3688
2019-04-09,3650
2017-02-13,3644
2018-02-21,3644
2018-04-05,3642
2019-04-03,3642
2022-01-24,3634
2021-04-28,3628
2017-04-18,3626
2018-04-08,3624
2016-03-08,3614
2022-01-31,3590
2018-06-06,3582
2018-01-26,3556
2014-02-10,3554
2020-03-05,3548
2022-04-27,3522
2018-03-01,3500
2020-03-02,3498
2022-05-12,3485
2020-12-18,3479
2019-05-01,3468
2019-03-01,3462
2022-05-23,3462
2020-03-09,3458
2021-02-05,3407
2020-03-25,3396
2015-02-23,3385
2016-12-02,3362
2017-01-24,3304
2018-06-13,3290
2021-12-28,3281
2021-01-25,3238
2018-03-12,3226
2016-02-08,3220
2016-03-29,3207
2017-03-31,3160
2020-04-29,3151
2022-05-25,3150
2022-04-29,3148
2020-05-13,3143
2022-01-27,3133
2014-02-03,3132
2018-01-09,3130
2018-05-10,3120
2019-06-24,3075
2014-04-17,3062
2017-02-07,2951
2014-04-02,2920
2017-04-06,2918
2016-01-19,2916
2015-01-30,2916
2020-03-06,2914
2019-02-15,2912
2015-04-22,2912
2014-02-25,2911
2019-05-08,2910
2020-01-13,2910
2022-01-26,2892
2014-03-10,2886
2019-04-26,2884
2023-05-03,2879
2015-03-31,2865
2014-03-23,2834
2015-03-06,2829
2021-04-02,2828
2015-06-09,2799
2016-02-26,2797
2014-01-07,2796
2021-11-18,2788
2022-02-14,2778
2017-02-14,2763
2023-05-02,2741
2022-04-21,2726
2019-03-20,2698
2015-03-24,2696
2022-04-08,2695
2022-05-11,2644
2014-04-24,2625
2021-01-07,2588
2016-01-15,2572
2018-04-17,2558
2016-02-25,2555
2020-06-11,2551
2020-01-02,2548
2016-03-30,2545
2016-11-08,2542
2020-10-02,2542
2015-05-19,2539
2016-02-12,2522
2015-02-11,2522
2020-11-13,2508
2016-11-21,2503
2015-03-30,2500
2021-04-06,2477
2017-02-08,2458
2018-02-27,2453
2015-04-02,2444
2019-02-25,2437
2016-04-13,2429
2021-01-06,2362
2018-01-10,2356
2013-11-14,2310
2014-01-13,2248
2019-04-24,2230
2017-03-23,2200
2017-04-26,2196
2021-02-19,2196
2017-03-03,2196
2022-05-18,2194
2014-01-16,2190
2015-01-22,2190
2014-04-22,2190
2014-03-18,2190
2022-01-18,2190
2019-03-19,2190
2016-03-28,2190
2016-01-29,2190
2020-12-21,2186
2014-01-27,2184
2022-04-19,2184
2015-05-06,2183
2019-12-16,2180
2022-04-01,2180
2019-02-20,2176
2021-04-27,2176
2021-04-19,2174
2020-04-15,2172
2020-01-30,2172
2016-01-11,2170
2014-04-23,2166
2021-03-03,2162
2018-03-13,2152
2014-04-10,2150
2017-02-28,2146
2018-04-03,2140
2020-01-21,2137
2022-01-19,2136
2015-06-11,2136
2022-02-28,2134
2014-11-08,2130
2021-01-04,2127
2018-04-09,2126
2015-11-11,2118
2015-11-21,2104
2017-12-19,2101
2017-03-01,2082
2017-11-09,2078
2021-03-26,2066
2020-02-28,2050
2022-05-16,2033
2022-04-06,2014
2021-04-01,1997
2020-01-14,1992
2016-03-24,1983
2017-04-10,1982
2015-03-04,1980
2019-01-08,1964
2021-04-16,1951
2016-03-17,1944
2021-03-21,1944
2021-11-04,1934
2017-03-07,1902
2019-04-02,1896
2018-05-15,1890
2021-07-27,1884
2022-01-28,1884
2020-12-31,1882
2014-03-04,1872
2019-11-13,1864
2023-04-27,1848
2022-03-16,1840
2017-02-16,1829
2014-05-16,1826
2018-03-02,1820
2021-01-22,1816
2019-07-09,1809
2021-01-13,1793
2018-04-11,1789
2020-01-09,1786
2015-02-09,1778
2015-04-09,1771
2015-04-01,1766
2016-04-12,1722
2014-04-15,1677
2015-07-10,1676
2018-01-18,1647
2017-06-20,1644
2019-03-15,1644
2021-08-05,1644
2021-01-20,1634
2022-04-18,1624
2015-04-29,1613
2014-04-25,1604
2019-05-06,1578
2014-03-25,1553
2014-04-11,1544
2023-04-21,1542
2020-01-03,1534
2016-01-25,1531
2020-01-17,1515
2022-02-04,1498
2017-04-27,1464
2021-04-21,1464
2017-01-09,1464
2021-04-13,1464
2017-03-29,1464
2021-03-09,1462
2017-01-25,1462
2015-07-28,1462
2020-11-30,1462
2021-02-03,1462
2022-02-09,1460
2018-04-20,1460
2018-02-23,1460
2019-02-05,1460
2014-12-29,1460
2015-01-20,1460
2016-02-05,1460
2019-04-11,1460
2016-03-25,1460
2022-01-13,1458
2020-10-14,1458
2015-01-13,1458
2016-01-13,1458
2022-02-08,1458
2015-06-04,1456
2016-01-07,1454
2021-06-01,1454
2022-03-04,1454
2014-01-31,1454
2022-01-05,1452
2022-01-06,1450
2015-03-05,1450
2014-04-30,1450
2022-01-10,1448
2018-04-13,1444
2015-10-21,1437
2019-04-19,1436
2016-02-09,1434
2019-06-12,1434
2021-04-29,1432
2019-11-14,1418
2019-12-30,1402
2021-04-22,1402
2017-08-04,1400
2022-04-13,1399
2014-04-29,1399
2019-04-23,1394
2019-04-08,1390
2017-04-05,1390
2019-04-14,1378
2019-01-16,1378
2017-02-01,1373
2015-06-24,1368
2017-01-04,1364
2013-12-23,1348
2019-07-12,1342
2022-04-07,1330
2018-12-17,1314
2017-01-26,1308
2014-02-04,1298
2013-08-01,1297
2019-01-04,1274
2019-06-21,1268
2023-04-17,1266
2014-03-03,1255
2020-09-25,1242
2014-03-24,1239
2022-05-05,1236
2022-05-17,1234
2022-01-01,1230
2015-12-31,1222
2018-01-05,1210
2020-04-23,1200
2014-05-05,1161
2014-05-22,1131
2021-02-09,1098
2020-01-27,1095
2019-02-21,1095
2022-01-12,1095
2018-01-08,1095
2018-04-02,1095
2018-03-26,1095
2019-02-01,1093
2021-01-15,1092
2020-04-30,1092
2021-10-28,1092
2014-01-08,1091
2015-02-10,1090
2017-01-28,1090
2018-09-20,1089
2018-04-25,1088
2019-04-10,1084
2014-03-28,1081
2016-10-17,1080
2020-02-15,1078
2019-02-28,1077
2015-05-15,1071
2015-04-20,1064
2015-05-28,1057
2017-01-23,1046
2022-01-14,1036
2014-04-01,1024
2017-12-26,1004
2013-12-26,982
2021-04-08,972
2017-07-13,968
2022-05-20,948
2023-03-21,930
2015-01-07,920
2023-04-20,920
2015-06-10,913
2017-05-17,912
2023-04-12,912
2019-10-02,910
2018-09-19,902
2022-05-27,900
2023-04-26,895
2023-03-07,868
2018-09-28,864
2018-12-28,856
2015-11-04,856
2023-03-23,856
2017-12-15,855
2018-01-31,844
2014-07-16,838
2020-04-22,832
2016-12-22,824
2014-06-12,814
2022-05-26,808
2017-09-06,805
2016-12-20,802
2020-11-02,798
2019-11-01,786
2014-12-15,770
2020-03-16,749
2016-02-19,736
2021-05-25,736
2017-02-17,732
2019-11-07,732
2017-02-24,732
2021-01-28,732
2021-07-20,732
2021-04-26,732
2013-06-18,732
2021-07-06,732
2021-01-29,732
2016-12-14,732
2021-01-26,732
2013-11-22,732
2021-01-24,732
2021-02-23,732
2021-01-03,732
2021-04-14,732
2015-12-16,732
2020-02-07,730
2016-04-05,730
2018-09-07,730
2014-04-09,730
2020-01-23,730
2018-03-03,730
2016-04-20,730
2014-11-03,730
2020-01-29,730
2014-05-20,730
2018-10-30,730
2019-02-12,730
2020-02-21,730
2014-01-17,730
2020-02-12,730
2018-06-07,730
2020-02-04,730
2014-04-16,730
2018-02-14,730
2015-02-25,730
2019-04-17,730
2020-01-22,730
2016-01-22,730
2019-01-18,730
2020-04-27,730
2016-06-16,730
2015-01-28,730
2019-04-05,730
2016-08-12,730
2015-01-08,730
2020-08-27,730
2015-02-20,730
2015-01-26,730
2019-12-13,730
2018-01-16,730
2018-04-10,730
2018-01-22,730
2018-06-28,730
2017-07-27,730
2018-01-15,730
2015-07-06,730
2016-02-22,730
2014-09-12,730
2019-09-19,730
2019-01-10,730
2014-01-14,730
2014-04-21,730
2014-01-24,730
2015-01-12,730
2015-06-02,730
2015-01-21,730
2021-01-19,730
2015-01-05,730
2020-05-01,730
2015-08-21,730
2018-12-11,730
2020-08-24,730
2015-05-27,730
2015-07-09,730
2022-01-15,728
2015-06-05,728
2022-03-10,728
2014-09-16,728
2015-01-16,728
2014-03-06,728
2021-03-12,728
2015-02-19,728
2021-03-11,728
2020-12-08,728
2021-02-26,728
2021-03-02,728
2014-12-24,728
2017-05-18,726
2019-04-16,726
2014-04-03,726
2019-01-14,726
2016-02-10,726
2018-12-21,726
2018-06-15,726
2018-05-02,726
2017-07-12,726
2021-04-20,726
2016-01-21,724
2015-05-11,724
2015-12-11,724
2020-02-05,724
2018-04-26,724
2019-05-24,722
2019-01-03,721
2021-01-21,721
2013-11-12,720
2020-05-21,720
2014-08-15,720
2015-04-30,720
2015-02-12,720
2014-02-26,720
2019-08-05,719
2014-07-15,719
2016-01-05,718
2016-01-26,718
2015-02-04,718
2015-06-30,718
2020-02-03,718
2014-06-02,718
2022-02-16,718
2014-02-12,715
2015-06-25,714
2016-04-01,712
2018-03-07,712
2017-01-10,712
2018-01-29,710
2014-01-25,708
2020-04-01,706
2014-06-09,704
2014-06-06,704
2014-07-14,704
2016-04-06,704
2014-04-07,702
2022-04-25,700
2017-04-07,700
2021-02-18,698
2015-08-13,694
2015-03-12,690
2019-01-09,682
2014-09-10,682
2016-03-23,678
2014-05-29,678
2015-07-01,678
2017-05-16,676
2017-04-14,672
2016-08-17,672
2014-03-21,670
2021-12-02,668
2018-11-02,666
2017-09-15,666
2020-04-20,666
2021-05-07,666
2022-04-22,664
2020-02-11,662
2018-10-02,656
2021-01-08,656
2016-05-09,648
2014-01-21,638
2015-03-10,636
2022-02-22,632
2015-04-16,632
2023-04-24,628
2021-12-09,628
2017-12-27,628
