observation_percent,count
100.0,10706962
71.0,84134
76.0,64541
65.0,61525
82.0,56940
88.0,44043
94.0,33266
59.0,28661
12.0,18792
53.0,17521
47.0,11817
6.0,9905
41.0,9029
35.0,7505
29.0,6101
18.0,5487
24.0,5313
