observation_count,count
1,3071602
24,2194017
23,102323
22,51373
21,26217
20,13635
19,8791
18,6427
14,5189
17,5111
13,4966
12,4892
11,4681
16,4655
10,4465
15,4412
9,3847
8,2817
7,1931
6,1324
5,1067
4,852
3,660
2,650
