cbsa_name,count
"Cheyenne, WY",4179
"Berlin, NH-VT",4129
"Longview, TX",4104
"Decatur, AL",4091
"Durham-Chapel Hill, NC",4078
"Logan, UT-ID",3946
"Green Bay, WI",3938
"Madison, WI",3880
"Butte-Silver Bow, MT",3873
"Atlantic City-Hammonton, NJ",3868
"Champaign-Urbana, IL",3797
"Jasper, IN",3777
"Muscatine, IA",3774
"Dickinson, ND",3733
"Yakima, WA",3685
"Elkhart-Goshen, IN",3684
"New Castle, IN",3673
"Kalamazoo-Portage, MI",3619
"Torrington, CT",3607
"Worcester, MA-CT",3603
"Hickory-Lenoir-Morganton, NC",3582
"Montgomery, AL",3577
"Kahului-Wailuku-Lahaina, HI",3550
"Billings, MT",3537
"Huntsville, AL",3504
"North Port-Sarasota-Bradenton, FL",3490
"Ann Arbor, MI",3467
"Boulder, CO",3439
"Dover, DE",3401
"Idaho Falls, ID",3391
"Farmington, NM",3381
"Homosassa Springs, FL",3374
"Trenton, NJ",3367
"Johnstown, PA",3364
"Ponca City, OK",3360
"Midland, MI",3339
"Bellingham, WA",3329
"Vernal, UT",3292
"Greensboro-High Point, NC",3290
"Grants Pass, OR",3266
"Show Low, AZ",3263
"St. George, UT",3261
"Lake Havasu City-Kingman, AZ",3159
"Syracuse, NY",3145
"Sault Ste. Marie, MI",3140
"Crescent City, CA",3093
"Salinas, CA",3043
"Owensboro, KY",3042
"Truckee-Grass Valley, CA",3017
"Roanoke, VA",3006
"State College, PA",2969
"Topeka, KS",2967
"Clinton, IA",2964
"Rochester, MN",2953
"Monroe, MI",2946
"Barnstable Town, MA",2946
"Prescott, AZ",2923
"Salem, OH",2918
"Sheridan, WY",2900
"Santa Rosa, CA",2859
"Elko, NV",2852
"Lawton, OK",2769
"Fayetteville, NC",2753
"Sioux City, IA-NE-SD",2749
"Riverton, WY",2735
"Los Alamos, NM",2682
"Harrison, AR",2639
"Bennington, VT",2622
"Yuba City, CA",2604
"Lake Charles, LA",2603
